Country,Gasoline_USD_per_litre,Diesel_USD_per_litre,Diesel_minus_gasoline_USD_per_litre,Gasoline_rank,Diesel_rank,Gasoline_pct_change_y,Diesel_pct_change_y,Diesel_pct_change_minus_gasoline_pct_change
Algeria,0.356,0.235,-0.121,6,4.0,0.0,0.0,0.0
Barbados,1.853,1.565,-0.288,127,97.0,-1.1,-3.1,-2.0
Benin,1.25,1.295,0.045,54,61.0,0.0,0.0,0.0
Bolivia,1.008,1.419,0.411,29,74.0,0.0,0.0,0.0
Burkina Faso,1.529,1.214,-0.315,102,46.0,0.0,0.0,0.0
Cameroon,1.506,1.485,-0.021,98,89.0,0.0,0.0,0.0
Ivory Coast,1.475,1.214,-0.261,94,47.0,0.0,0.0,0.0
India,1.081,0.967,-0.114,37,25.0,-0.0,-0.0,0.0
Kuwait,0.341,0.373,0.032,5,6.0,0.0,0.0,0.0
Malta,1.573,1.421,-0.152,105,77.0,0.0,0.0,0.0
Mozambique,1.308,1.25,-0.058,59,52.0,0.0,0.0,0.0
Nicaragua,1.335,1.178,-0.157,63,45.0,0.0,0.0,0.0
Oman,0.622,0.671,0.049,11,15.0,0.0,0.0,0.0
Russia,0.813,0.942,0.129,19,24.0,-8.3,-8.2,0.10000000000000142
Saint Lucia,1.302,1.302,0.0,58,62.0,0.0,0.0,0.0
Saudi Arabia,0.621,0.477,-0.144,10,9.0,0.0,0.0,0.0
Tunisia,0.881,0.769,-0.112,20,17.0,0.0,0.0,0.0
