Country,Gasoline_USD_per_litre,Diesel_USD_per_litre,Diesel_minus_gasoline_USD_per_litre,Gasoline_rank,Diesel_rank,Gasoline_pct_change_y,Diesel_pct_change_y,Diesel_pct_change_minus_gasoline_pct_change
Algeria,0.356,0.235,-0.121,6,4.0,0.0,0.0,0.0
Bahrain,0.671,0.583,-0.088,14,11.0,7.7,10.0,2.3
Barbados,1.853,1.565,-0.288,127,97.0,-1.1,-3.1,-2.0
Belarus,0.941,0.941,0.0,26,23.0,2.7,2.7,0.0
Benin,1.25,1.295,0.045,54,61.0,0.0,0.0,0.0
Bolivia,1.008,1.419,0.411,29,74.0,0.0,0.0,0.0
Brazil,1.351,1.482,0.131,67,88.0,7.5,23.2,15.7
Burkina Faso,1.529,1.214,-0.315,102,46.0,0.0,0.0,0.0
Cameroon,1.506,1.485,-0.021,98,89.0,0.0,0.0,0.0
Cape Verde,1.482,1.245,-0.237,96,50.0,15.2,13.1,-2.1
Cayman Islands,1.585,1.672,0.087,108,106.0,10.3,23.2,12.9
Colombia,1.141,0.818,-0.323,42,19.0,-0.7,0.9,1.6
Costa Rica,1.39,1.243,-0.147,77,49.0,0.6,10.1,9.5
Denmark,2.649,2.738,0.089,166,163.0,13.7,20.2,6.5
Ecuador,0.799,0.782,-0.017,18,18.0,9.6,9.7,0.0999999999999996
Egypt,0.464,0.396,-0.068,8,7.0,14.3,17.1,2.8000000000000007
Finland,2.368,2.669,0.301,158,162.0,9.3,20.5,11.2
Hungary,1.921,1.985,0.064,135,121.0,6.4,7.0,0.5999999999999996
India,1.081,0.967,-0.114,37,25.0,-0.0,-0.0,0.0
Indonesia,0.723,0.853,0.13,17,21.0,2.8,7.5,4.7
Italy,2.065,2.471,0.406,146,152.0,5.7,22.9,17.2
Ivory Coast,1.475,1.214,-0.261,94,47.0,0.0,0.0,0.0
Japan,1.051,0.983,-0.068,33,26.0,8.3,9.6,1.299999999999999
Kenya,1.522,1.516,-0.006,100,93.0,10.9,18.2,7.299999999999999
Kuwait,0.341,0.373,0.032,5,6.0,0.0,0.0,0.0
Liechtenstein,2.51,2.779,0.269,165,165.0,14.6,21.2,6.6
Madagascar,1.184,1.126,-0.058,47,40.0,-3.9,-4.1,-0.1999999999999997
Malta,1.573,1.421,-0.152,105,77.0,0.0,0.0,0.0
Mauritius,1.386,1.537,0.151,76,95.0,9.9,20.9,10.999999999999998
Mexico,1.62,1.627,0.007,109,103.0,10.0,7.8,-2.2
Mozambique,1.308,1.25,-0.058,59,52.0,0.0,0.0,0.0
Namibia,1.336,1.43,0.094,64,80.0,12.8,20.4,7.599999999999998
Nicaragua,1.335,1.178,-0.157,63,45.0,0.0,0.0,0.0
Norway,2.29,2.421,0.131,155,151.0,-0.2,19.7,19.9
Oman,0.622,0.671,0.049,11,15.0,0.0,0.0,0.0
Portugal,2.226,2.313,0.087,153,149.0,12.5,23.1,10.6
Qatar,0.562,0.562,0.0,9,10.0,10.8,7.9,-2.9000000000000004
Romania,1.878,1.979,0.101,129,119.0,2.7,4.2,1.5
Russia,0.813,0.942,0.129,19,24.0,-8.3,-8.2,0.1000000000000014
Saint Lucia,1.302,1.302,0.0,58,62.0,0.0,0.0,0.0
Saudi Arabia,0.621,0.477,-0.144,10,9.0,0.0,0.0,0.0
Serbia,1.91,2.17,0.26,133,136.0,6.7,9.6,2.8999999999999995
Slovakia,1.96,2.055,0.095,137,127.0,13.2,19.3,6.100000000000001
Slovenia,1.885,2.038,0.153,132,124.0,11.8,18.5,6.699999999999999
Spain,1.763,2.041,0.278,122,125.0,2.1,22.1,20.0
Suriname,1.289,1.422,0.133,56,78.0,13.4,18.0,4.6
Switzerland,2.424,2.769,0.345,163,164.0,12.8,20.2,7.399999999999999
Tunisia,0.881,0.769,-0.112,20,17.0,0.0,0.0,0.0
Turkey,1.397,1.595,0.198,79,101.0,9.7,18.7,9.0
Uruguay,2.072,1.275,-0.797,147,58.0,5.8,3.5,-2.3
Zambia,1.427,1.566,0.139,84,98.0,-2.6,21.6,24.200000000000003
