Entity,Code,Year,Rape or colza seed - Production (tonnes)
Africa,OWID_AFR,1961,20000
Africa,OWID_AFR,1962,20000
Africa,OWID_AFR,1963,20000
Africa,OWID_AFR,1964,20000
Africa,OWID_AFR,1965,20000
Africa,OWID_AFR,1966,20000
Africa,OWID_AFR,1967,20000
Africa,OWID_AFR,1968,20000
Africa,OWID_AFR,1969,20000
Africa,OWID_AFR,1970,20500
Africa,OWID_AFR,1971,20500
Africa,OWID_AFR,1972,20500
Africa,OWID_AFR,1973,21000
Africa,OWID_AFR,1974,21000
Africa,OWID_AFR,1975,21000
Africa,OWID_AFR,1976,20000
Africa,OWID_AFR,1977,20000
Africa,OWID_AFR,1978,18000
Africa,OWID_AFR,1979,40000
Africa,OWID_AFR,1980,37690
Africa,OWID_AFR,1981,63690
Africa,OWID_AFR,1982,60027
Africa,OWID_AFR,1983,73806
Africa,OWID_AFR,1984,73469
Africa,OWID_AFR,1985,82708
Africa,OWID_AFR,1986,92810
Africa,OWID_AFR,1987,127501
Africa,OWID_AFR,1988,140900
Africa,OWID_AFR,1989,166125
Africa,OWID_AFR,1990,153100
Africa,OWID_AFR,1991,141700
Africa,OWID_AFR,1992,122400
Africa,OWID_AFR,1993,46100
Africa,OWID_AFR,1994,46056
Africa,OWID_AFR,1995,63114.86
Africa,OWID_AFR,1996,86441.71
Africa,OWID_AFR,1997,56724.71
Africa,OWID_AFR,1998,67234
Africa,OWID_AFR,1999,65917
Africa,OWID_AFR,2000,67205
Africa,OWID_AFR,2001,72386
Africa,OWID_AFR,2002,81413
Africa,OWID_AFR,2003,92620
Africa,OWID_AFR,2004,93784
Africa,OWID_AFR,2005,112654.56
Africa,OWID_AFR,2006,93860.17
Africa,OWID_AFR,2007,100332.29
Africa,OWID_AFR,2008,111493.19
Africa,OWID_AFR,2009,92363.29
Africa,OWID_AFR,2010,92144.45
Africa,OWID_AFR,2011,162636.75
Africa,OWID_AFR,2012,192527.05
Africa,OWID_AFR,2013,223363.33
Africa,OWID_AFR,2014,221028.66
Africa,OWID_AFR,2015,183577.27
Africa,OWID_AFR,2016,196873.8
Africa,OWID_AFR,2017,173853.03
Africa,OWID_AFR,2018,178342.23
Africa,OWID_AFR,2019,166530.94
Africa,OWID_AFR,2020,244908.86
Africa,OWID_AFR,2021,262975.84
Africa,OWID_AFR,2022,275777.7
Africa,OWID_AFR,2023,302393.9
Africa,OWID_AFR,2024,355119.62
Africa (FAO),,1961,20000
Africa (FAO),,1962,20000
Africa (FAO),,1963,20000
Africa (FAO),,1964,20000
Africa (FAO),,1965,20000
Africa (FAO),,1966,20000
Africa (FAO),,1967,20000
Africa (FAO),,1968,20000
Africa (FAO),,1969,20000
Africa (FAO),,1970,20500
Africa (FAO),,1971,20500
Africa (FAO),,1972,20500
Africa (FAO),,1973,21000
Africa (FAO),,1974,21000
Africa (FAO),,1975,21000
Africa (FAO),,1976,20000
Africa (FAO),,1977,20000
Africa (FAO),,1978,18000
Africa (FAO),,1979,40000
Africa (FAO),,1980,37690
Africa (FAO),,1981,63690
Africa (FAO),,1982,60027
Africa (FAO),,1983,73806
Africa (FAO),,1984,73469
Africa (FAO),,1985,82708
Africa (FAO),,1986,92810
Africa (FAO),,1987,127501
Africa (FAO),,1988,140900
Africa (FAO),,1989,166125
Africa (FAO),,1990,153100
Africa (FAO),,1991,141700
Africa (FAO),,1992,122400
Africa (FAO),,1993,46100
Africa (FAO),,1994,46056
Africa (FAO),,1995,63114.86
Africa (FAO),,1996,86441.71
Africa (FAO),,1997,56724.71
Africa (FAO),,1998,67234
Africa (FAO),,1999,65917
Africa (FAO),,2000,67205
Africa (FAO),,2001,72386
Africa (FAO),,2002,81413
Africa (FAO),,2003,92620
Africa (FAO),,2004,93784
Africa (FAO),,2005,112654.56
Africa (FAO),,2006,93860.17
Africa (FAO),,2007,100332.29
Africa (FAO),,2008,111493.19
Africa (FAO),,2009,92363.29
Africa (FAO),,2010,92144.45
Africa (FAO),,2011,162636.73
Africa (FAO),,2012,192527.05
Africa (FAO),,2013,223363.33
Africa (FAO),,2014,221028.66
Africa (FAO),,2015,183577.27
Africa (FAO),,2016,196873.81
Africa (FAO),,2017,173853.03
Africa (FAO),,2018,178342.25
Africa (FAO),,2019,166530.94
Africa (FAO),,2020,244908.86
Africa (FAO),,2021,262975.84
Africa (FAO),,2022,275777.7
Africa (FAO),,2023,302393.9
Africa (FAO),,2024,355119.62
Algeria,DZA,1961,0
Algeria,DZA,1962,0
Algeria,DZA,1963,0
Algeria,DZA,1964,0
Algeria,DZA,1965,0
Algeria,DZA,1966,0
Algeria,DZA,1967,0
Algeria,DZA,1968,0
Algeria,DZA,1969,0
Algeria,DZA,1970,0
Algeria,DZA,1971,0
Algeria,DZA,1972,0
Algeria,DZA,1973,0
Algeria,DZA,1974,0
Algeria,DZA,1975,0
Algeria,DZA,1976,0
Algeria,DZA,1977,0
Algeria,DZA,1978,0
Algeria,DZA,1979,25000
Algeria,DZA,1980,30000
Algeria,DZA,1981,48060
Algeria,DZA,1982,44327
Algeria,DZA,1983,49576
Algeria,DZA,1984,57759
Algeria,DZA,1985,66098
Algeria,DZA,1986,72700
Algeria,DZA,1987,85711
Algeria,DZA,1988,77130
Algeria,DZA,1989,90395
Algeria,DZA,1990,70000
Algeria,DZA,1991,60000
Algeria,DZA,1992,40000
Algeria,DZA,1993,35000
Algeria,DZA,1994,30000
Algeria,DZA,1995,31583.05
Algeria,DZA,1996,31687.71
Algeria,DZA,1997,31710.71
Algeria,DZA,1998,30000
Algeria,DZA,1999,31000
Algeria,DZA,2000,29000
Algeria,DZA,2001,29000
Algeria,DZA,2002,27000
Algeria,DZA,2003,28000
Algeria,DZA,2004,29000
Algeria,DZA,2005,29000
Algeria,DZA,2006,29000
Algeria,DZA,2007,29000
Algeria,DZA,2008,28905.33
Algeria,DZA,2009,25227.85
Algeria,DZA,2010,25316.44
Algeria,DZA,2011,24832.17
Algeria,DZA,2012,24347.89
Algeria,DZA,2013,23863.61
Algeria,DZA,2014,23530.26
Algeria,DZA,2015,23821.51
Algeria,DZA,2016,23755.18
Algeria,DZA,2017,23399.97
Algeria,DZA,2018,22711.12
Algeria,DZA,2019,23288.76
Algeria,DZA,2020,23038.13
Algeria,DZA,2021,23012.67
Algeria,DZA,2022,23113.19
Algeria,DZA,2023,23054.66
Algeria,DZA,2024,23060.17
Americas (FAO),,1961,299044
Americas (FAO),,1962,167951
Americas (FAO),,1963,247291
Americas (FAO),,1964,365857
Americas (FAO),,1965,594003
Americas (FAO),,1966,669197
Americas (FAO),,1967,627056
Americas (FAO),,1968,494641
Americas (FAO),,1969,828184
