date,year,month_num,month,sunshine_hours
1910-01-01,1910,1,Jan,71.2
1910-02-01,1910,2,Feb,75.2
1910-03-01,1910,3,Mar,155.6
1910-04-01,1910,4,Apr,133.5
1910-05-01,1910,5,May,211.0
1910-06-01,1910,6,Jun,192.9
1910-07-01,1910,7,Jul,118.5
1910-08-01,1910,8,Aug,167.0
1910-09-01,1910,9,Sep,124.1
1910-10-01,1910,10,Oct,72.9
1910-11-01,1910,11,Nov,80.8
1910-12-01,1910,12,Dec,30.7
1911-01-01,1911,1,Jan,60.8
1911-02-01,1911,2,Feb,68.9
1911-03-01,1911,3,Mar,89.6
1911-04-01,1911,4,Apr,161.2
1911-05-01,1911,5,May,224.4
1911-06-01,1911,6,Jun,218.4
1911-07-01,1911,7,Jul,312.8
1911-08-01,1911,8,Aug,238.4
1911-09-01,1911,9,Sep,212.8
1911-10-01,1911,10,Oct,98.6
1911-11-01,1911,11,Nov,58.6
1911-12-01,1911,12,Dec,43.1
1912-01-01,1912,1,Jan,35.0
1912-02-01,1912,2,Feb,53.4
1912-03-01,1912,3,Mar,94.2
1912-04-01,1912,4,Apr,241.7
1912-05-01,1912,5,May,174.5
1912-06-01,1912,6,Jun,192.9
1912-07-01,1912,7,Jul,163.0
1912-08-01,1912,8,Aug,107.8
1912-09-01,1912,9,Sep,112.2
1912-10-01,1912,10,Oct,128.6
1912-11-01,1912,11,Nov,36.0
1912-12-01,1912,12,Dec,25.8
1913-01-01,1913,1,Jan,45.9
1913-02-01,1913,2,Feb,67.7
1913-03-01,1913,3,Mar,104.6
1913-04-01,1913,4,Apr,130.9
1913-05-01,1913,5,May,201.3
1913-06-01,1913,6,Jun,201.7
1913-07-01,1913,7,Jul,101.3
1913-08-01,1913,8,Aug,165.4
1913-09-01,1913,9,Sep,136.9
1913-10-01,1913,10,Oct,108.3
1913-11-01,1913,11,Nov,83.9
1913-12-01,1913,12,Dec,40.7
1914-01-01,1914,1,Jan,38.6
1914-02-01,1914,2,Feb,92.4
1914-03-01,1914,3,Mar,99.3
1914-04-01,1914,4,Apr,230.8
1914-05-01,1914,5,May,204.3
1914-06-01,1914,6,Jun,242.3
