Distillery,Region,Approachable_Index,Peat_Index,Sweetness,Fruity,Honey,Smoky,Medicinal
Aberfeldy,Highlands,6,2,2,2,2,2,0
AnCnoc,Highlands,8,2,3,3,2,2,0
Ardmore,Highlands,4,2,2,1,1,2,0
Auchroisk,Highlands,7,1,3,2,2,1,0
Aultmore,Highlands,5,1,2,2,1,1,0
Balblair,Highlands,5,3,3,2,0,2,1
Balmenach,Highlands,6,2,3,1,2,2,0
Belvenie,Highlands,7,1,2,2,3,1,0
BenNevis,Highlands,6,2,2,2,2,2,0
Benromach,Highlands,6,2,2,2,2,2,0
BlairAthol,Highlands,5,2,2,2,1,2,0
Clynelish,Highlands,4,6,2,2,0,3,3
Dailuaine,Highlands,5,2,2,2,1,2,0
Dalmore,Highlands,6,3,2,3,1,2,1
Dalwhinnie,Highlands,6,2,2,2,2,2,0
Deanston,Highlands,6,1,2,2,2,1,0
Edradour,Highlands,7,1,3,2,2,1,0
GlenDeveronMacduff,Highlands,4,2,3,0,1,1,1
GlenGarioch,Highlands,3,3,1,2,0,3,0
GlenGrant,Highlands,5,0,2,2,1,0,0
GlenKeith,Highlands,6,1,3,2,1,1,0
GlenMoray,Highlands,5,1,2,2,1,1,0
GlenOrd,Highlands,5,1,2,2,1,1,0
GlenSpey,Highlands,3,1,3,0,0,1,0
Glenallachie,Highlands,6,1,3,2,1,1,0
Glendronach,Highlands,6,2,2,2,2,2,0
Glendullan,Highlands,7,1,2,3,2,1,0
Glengoyne,Highlands,6,0,2,3,1,0,0
Glenmorangie,Highlands,5,2,2,2,1,1,1
Glenturret,Highlands,6,1,3,1,2,1,0
Inchgower,Highlands,6,2,3,1,2,1,1
Knochando,Highlands,7,1,3,2,2,1,0
Loch Lomond,Highlands,3,2,1,1,1,1,1
Mannochmore,Highlands,4,1,1,2,1,1,0
Miltonduff,Highlands,6,1,4,1,1,1,0
Oban,Highlands,4,4,2,2,0,2,2
OldFettercairn,Highlands,5,2,2,1,2,2,0
RoyalBrackla,Highlands,7,3,3,3,1,2,1
RoyalLochnagar,Highlands,7,2,2,3,2,2,0
Speyside,Highlands,5,1,2,2,1,1,0
Strathmill,Highlands,6,1,3,3,0,1,0
Tamnavulin,Highlands,5,2,3,2,0,2,0
Teaninich,Highlands,4,3,2,2,0,2,1
Tomatin,Highlands,5,2,3,0,2,2,0
Tormore,Highlands,3,1,2,0,1,1,0
Tullibardine,Highlands,5,0,3,2,0,0,0
