Flavour,Score,Whiskies,Percent
Body,0,2,0.0233
Body,1,19,0.2209
Body,2,45,0.5233
Body,3,11,0.1279
Body,4,9,0.1047
Sweetness,1,10,0.1163
Sweetness,2,44,0.5116
Sweetness,3,29,0.3372
Sweetness,4,3,0.0349
Smoky,0,4,0.0465
Smoky,1,45,0.5233
Smoky,2,28,0.3256
Smoky,3,5,0.0581
Smoky,4,4,0.0465
Medicinal,0,59,0.686
Medicinal,1,15,0.1744
Medicinal,2,7,0.0814
Medicinal,3,2,0.0233
Medicinal,4,3,0.0349
Tobacco,0,76,0.8837
Tobacco,1,10,0.1163
Honey,0,18,0.2093
Honey,1,33,0.3837
Honey,2,32,0.3721
Honey,3,2,0.0233
Honey,4,1,0.0116
Spicy,0,12,0.1395
Spicy,1,33,0.3837
Spicy,2,37,0.4302
Spicy,3,4,0.0465
Winey,0,29,0.3372
Winey,1,37,0.4302
Winey,2,15,0.1744
Winey,3,3,0.0349
Winey,4,2,0.0233
Nutty,0,12,0.1395
Nutty,1,27,0.314
Nutty,2,43,0.5
Nutty,3,3,0.0349
Nutty,4,1,0.0116
Malty,0,2,0.0233
Malty,1,21,0.2442
Malty,2,55,0.6395
Malty,3,8,0.093
Fruity,0,6,0.0698
Fruity,1,18,0.2093
Fruity,2,49,0.5698
Fruity,3,13,0.1512
Floral,0,9,0.1047
Floral,1,19,0.2209
Floral,2,49,0.5698
Floral,3,7,0.0814
Floral,4,2,0.0233
