Distillery,Region,Peat_Avoider_Score,Flavour_Profile,Sweetness,Fruity,Malty,Honey,Smoky,Medicinal
Aberlour,Speyside,12,Sweet / fruity,3,3,3,4,1,0
Glenfarclas,Speyside,9,Malty / honeyed,4,2,3,1,1,0
Macallan,Speyside,9,Malty / honeyed,3,3,2,2,1,0
Strathisla,Speyside,9,Malty / honeyed,2,3,3,2,1,0
Belvenie,Highlands,8,Malty / honeyed,2,2,2,3,1,0
AnCnoc,Highlands,8,Malty / honeyed,3,3,2,2,2,0
Benrinnes,Speyside,8,Malty / honeyed,2,2,3,3,2,0
Glendullan,Highlands,8,Malty / honeyed,2,3,2,2,1,0
Glenlivet,Speyside,8,Malty / honeyed,3,2,2,2,1,0
Glengoyne,Highlands,8,Malty / honeyed,2,3,2,1,0,0
Deanston,Highlands,8,Malty / honeyed,2,2,3,2,1,0
Benriach,Speyside,8,Malty / honeyed,2,3,2,2,1,0
Auchroisk,Highlands,8,Malty / honeyed,3,2,2,2,1,0
Speyburn,Speyside,8,Malty / honeyed,4,1,2,2,1,0
Edradour,Highlands,8,Malty / honeyed,3,2,2,2,1,0
Auchentoshan,Lowlands,8,Malty / honeyed,2,3,2,1,0,0
Glenallachie,Highlands,7,Balanced / approachable,3,2,2,1,1,0
GlenElgin,Speyside,7,Balanced / approachable,3,2,1,2,1,0
Tamdhu,Speyside,7,Balanced / approachable,2,2,2,2,1,0
Glenrothes,Speyside,7,Balanced / approachable,3,2,2,1,1,0
Glenturret,Highlands,7,Balanced / approachable,3,1,2,2,1,0
Knochando,Highlands,7,Balanced / approachable,3,2,1,2,1,0
Linkwood,Speyside,7,Balanced / approachable,3,3,1,1,1,0
Longmorn,Speyside,7,Balanced / approachable,2,2,3,1,1,0
RoyalLochnagar,Highlands,7,Balanced / approachable,2,3,2,2,2,0
Tullibardine,Highlands,7,Balanced / approachable,3,2,2,0,0,0
Tomintoul,Speyside,7,Balanced / approachable,3,1,2,2,1,0
Cardhu,Speyside,7,Balanced / approachable,3,2,2,1,1,0
Speyside,Highlands,6,Balanced / approachable,2,2,2,1,1,0
Scapa,Islands,6,Balanced / approachable,2,2,2,2,1,1
Glenlossie,Speyside,6,Balanced / approachable,2,2,2,1,1,0
Glenkinchie,Lowlands,6,Balanced / approachable,2,2,2,1,1,0
Glenfiddich,Speyside,6,Balanced / approachable,3,2,2,0,1,0
Aultmore,Highlands,6,Balanced / approachable,2,2,2,1,1,0
Aberfeldy,Highlands,6,Balanced / approachable,2,2,2,2,2,0
Benromach,Highlands,6,Balanced / approachable,2,2,2,2,2,0
BenNevis,Highlands,6,Balanced / approachable,2,2,2,2,2,0
Glendronach,Highlands,6,Balanced / approachable,2,2,2,2,2,0
Strathmill,Highlands,6,Balanced / approachable,3,3,1,0,1,0
RoyalBrackla,Highlands,6,Balanced / approachable,3,3,2,1,2,1
Miltonduff,Highlands,6,Balanced / approachable,4,1,1,1,1,0
Inchgower,Highlands,6,Balanced / approachable,3,1,2,2,1,1
OldFettercairn,Highlands,6,Balanced / approachable,2,1,3,2,2,0
GlenKeith,Highlands,6,Balanced / approachable,3,2,1,1,1,0
Dalwhinnie,Highlands,6,Balanced / approachable,2,2,2,2,2,0
GlenMoray,Highlands,6,Balanced / approachable,2,2,2,1,1,0
GlenGrant,Highlands,6,Balanced / approachable,2,2,1,1,0,0
