RowID,Distillery,Body,Sweetness,Smoky,Medicinal,Tobacco,Honey,Spicy,Winey,Nutty,Malty,Fruity,Floral,Postcode,Latitude,Longitude,Peat_Index,Dessert_Index,Total_Intensity,Complexity,Islay_Flag,Region
1,Aberfeldy,2,2,2,0,0,2,1,2,2,2,2,2,PH15 2EB,286580,749680,2,6,19,0.792961461098759,False,Highlands
2,Aberlour,3,3,1,0,0,4,3,2,2,3,3,2,AB38 9PJ,326340,842570,1,10,26,1.2673044646258471,False,Speyside
3,AnCnoc,1,3,2,0,0,2,0,0,2,2,3,2,AB5 5LI,352960,839320,2,8,17,1.164500152881315,False,Highlands
4,Ardbeg,4,1,4,4,0,0,2,0,1,2,1,0,PA42 7EB,141560,646220,8,2,19,1.6213537179739277,True,Islay
5,Ardmore,2,2,2,0,0,1,1,1,2,3,1,1,AB54 4NH,355350,829140,2,4,16,0.8876253645985945,False,Highlands
6,ArranIsleOf,2,3,1,1,0,1,1,1,0,1,1,2,KA27 8HJ,194050,649950,2,5,14,0.8348471099367218,False,Islands
7,Auchentoshan,0,2,0,0,0,1,1,0,2,2,3,3,G81 4SJ,247670,672610,0,6,14,1.19341628287971,False,Lowlands
8,Auchroisk,2,3,1,0,0,2,1,2,2,2,2,1,AB55 3XS,340754,848623,1,7,18,0.9045340337332908,False,Highlands
9,Aultmore,2,2,1,0,0,1,0,0,2,2,2,2,AB55 3QY,340754,848623,1,5,14,0.9374368665610922,False,Highlands
10,Balblair,2,3,2,1,0,0,2,0,2,1,2,1,IV19 1LB,270820,885770,3,5,16,0.984731927834662,False,Highlands
11,Balmenach,4,3,2,0,0,2,1,3,3,0,1,2,PH26 3PF,307750,827170,2,6,21,1.3568010505999362,False,Highlands
12,Belvenie,3,2,1,0,0,3,2,1,0,2,2,2,AB55 4DH,332680,840840,1,7,18,1.087114613009218,False,Highlands
13,BenNevis,4,2,2,0,0,2,2,0,2,2,2,2,PH33 6TJ,212600,775710,2,6,20,1.1547005383792517,False,Highlands
14,Benriach,2,2,1,0,0,2,2,0,0,2,3,2,IV30 8SJ,323450,858380,1,7,16,1.0730867399773196,False,Speyside
15,Benrinnes,3,2,2,0,0,3,1,1,2,3,2,2,AB38 9NN,325800,839920,2,7,21,1.0552897060221726,False,Speyside
16,Benromach,2,2,2,0,0,2,2,1,2,2,2,2,IV36 3EB,303330,859350,2,6,19,0.792961461098759,False,Highlands
17,Bladnoch,1,2,1,0,0,0,1,1,0,2,2,3,DG8 9AB,242260,554260,1,4,13,0.996204919895622,False,Lowlands
18,BlairAthol,2,2,2,0,0,1,2,2,2,2,2,2,PH16 5LY,294860,757580,2,5,19,0.792961461098759,False,Highlands
19,Bowmore,2,2,3,1,0,2,2,1,1,1,1,2,PA43 7GS,131330,659720,4,5,18,0.7977240352174656,True,Islay
20,Bruichladdich,1,1,2,2,0,2,2,1,2,2,2,2,PA49 7UN,126680,661400,4,5,19,0.6685579234215213,True,Islay
21,Bunnahabhain,1,2,1,1,0,1,1,1,1,2,2,3,PA46 7RR,142210,673170,2,5,16,0.7784989441615231,True,Islay
22,Caol Ila,3,1,4,2,1,0,2,0,2,1,1,1,PA46 7RL,142920,670040,7,2,18,1.1677484162422844,True,Islay
23,Cardhu,1,3,1,0,0,1,1,0,2,2,2,2,AB38 7RY,318790,843090,1,6,15,0.9653072991634228,False,Speyside
24,Clynelish,3,2,3,3,1,0,2,0,1,1,2,0,KW9 6LB,290250,904230,7,4,18,1.1677484162422844,False,Highlands
25,Craigallechie,2,2,2,0,1,2,2,1,2,2,1,4,AB38 9ST,328920,844920,3,5,21,0.9653072991634228,False,Speyside
