Distillery,Sweetness,Fruity,Malty,Honey,Smoky,Medicinal,Peat_Avoider_Score
Aberlour,3,3,3,4,1,0,12
Glenfarclas,4,2,3,1,1,0,9
Macallan,3,3,2,2,1,0,9
Strathisla,2,3,3,2,1,0,9
Belvenie,2,2,2,3,1,0,8
AnCnoc,3,3,2,2,2,0,8
Benrinnes,2,2,3,3,2,0,8
Glendullan,2,3,2,2,1,0,8
Glenlivet,3,2,2,2,1,0,8
Glengoyne,2,3,2,1,0,0,8
Deanston,2,2,3,2,1,0,8
Benriach,2,3,2,2,1,0,8
Auchroisk,3,2,2,2,1,0,8
Speyburn,4,1,2,2,1,0,8
Edradour,3,2,2,2,1,0,8
Auchentoshan,2,3,2,1,0,0,8
Glenallachie,3,2,2,1,1,0,7
GlenElgin,3,2,1,2,1,0,7
Tamdhu,2,2,2,2,1,0,7
Glenrothes,3,2,2,1,1,0,7
Glenturret,3,1,2,2,1,0,7
Knochando,3,2,1,2,1,0,7
Linkwood,3,3,1,1,1,0,7
Longmorn,2,2,3,1,1,0,7
RoyalLochnagar,2,3,2,2,2,0,7
Tullibardine,3,2,2,0,0,0,7
Tomintoul,3,1,2,2,1,0,7
Cardhu,3,2,2,1,1,0,7
Speyside,2,2,2,1,1,0,6
Scapa,2,2,2,2,1,1,6
Glenlossie,2,2,2,1,1,0,6
Glenkinchie,2,2,2,1,1,0,6
Glenfiddich,3,2,2,0,1,0,6
Aultmore,2,2,2,1,1,0,6
Aberfeldy,2,2,2,2,2,0,6
Benromach,2,2,2,2,2,0,6
BenNevis,2,2,2,2,2,0,6
Glendronach,2,2,2,2,2,0,6
Strathmill,3,3,1,0,1,0,6
RoyalBrackla,3,3,2,1,2,1,6
Miltonduff,4,1,1,1,1,0,6
Inchgower,3,1,2,2,1,1,6
OldFettercairn,2,1,3,2,2,0,6
GlenKeith,3,2,1,1,1,0,6
Dalwhinnie,2,2,2,2,2,0,6
GlenMoray,2,2,2,1,1,0,6
GlenGrant,2,2,1,1,0,0,6
GlenOrd,2,2,2,1,1,0,6
Bunnahabhain,2,2,2,1,1,1,5
Ardmore,2,1,3,1,2,0,5
BlairAthol,2,2,2,1,2,0,5
Tobermory,1,2,2,1,1,0,5
Tomatin,3,0,2,2,2,0,5
Bladnoch,2,2,2,0,1,0,5
Craigallechie,2,1,2,2,2,0,5
Dufftown,3,2,2,0,1,1,5
Dailuaine,2,2,2,1,2,0,5
Dalmore,2,3,2,1,2,1,5
Mortlach,2,2,1,2,2,0,5
GlenDeveronMacduff,3,0,2,1,1,1,4
ArranIsleOf,3,1,1,1,1,1,4
Balmenach,3,1,0,2,2,0,4
Mannochmore,1,2,1,1,1,0,4
Tamnavulin,3,2,1,0,2,0,4
GlenSpey,3,0,2,0,1,0,4
Glenmorangie,2,2,1,1,1,1,4
Craigganmore,3,2,2,0,2,1,4
Balblair,3,2,1,0,2,1,3
Tormore,2,0,1,1,1,0,3
Bruichladdich,1,2,2,2,2,2,3
Loch Lomond,1,1,2,1,1,1,3
Highland Park,2,1,2,2,3,1,3
Bowmore,2,1,1,2,3,1,2
Oban,2,2,2,0,2,2,2
GlenGarioch,1,2,2,0,3,0,2
GlenScotia,2,1,2,1,2,2,2
Teaninich,2,2,0,0,2,1,1
Springbank,2,0,1,2,2,2,1
Talisker,2,2,2,1,3,3,1
OldPulteney,1,2,2,0,2,2,1
Isle of Jura,1,1,1,1,2,2,0
Clynelish,2,2,1,0,3,3,-1
Caol Ila,1,1,1,0,4,2,-3
Ardbeg,1,1,2,0,4,4,-4
Lagavulin,1,1,1,0,4,4,-5
Laphroig,2,0,1,0,4,4,-5
