rank,name,sport,nationality,total_earnings_usd_m,on_field_earnings_usd_m,off_field_earnings_usd_m
1,Cristiano Ronaldo,Soccer,Portugal,300.0,235.0,65.0
2,Canelo Alvarez,Boxing,Mexico,170.0,160.0,10.0
3,Lionel Messi,Soccer,Argentina,140.0,70.0,70.0
4,LeBron James,Basketball,United States,137.8,52.8,85.0
5,Shohei Ohtani,Baseball,Japan,127.6,2.6,125.0
6,Stephen Curry,Basketball,United States,124.7,59.7,65.0
7,Jon Rahm,Golf,Spain,107.0,97.0,10.0
8,Karim Benzema,Soccer,France,104.0,100.0,4.0
9,Kevin Durant,Basketball,United States,103.8,54.8,49.0
10,Lewis Hamilton,Auto Racing,United Kingdom,100.0,70.0,30.0
11,Giannis Antetokounmpo,Basketball,Greece,99.2,54.2,45.0
12,Kylian Mbappé,Soccer,France,95.0,70.0,25.0
13,Micah Parsons,Football,United States,86.4,83.4,3.0
14,Max Verstappen,Auto Racing,Netherlands,86.0,78.0,8.0
15,Patrick Mahomes,Football,United States,84.7,56.7,28.0
16,Scottie Scheffler,Golf,United States,84.6,54.6,30.0
17,Brock Purdy,Football,United States,83.1,79.1,4.0
18,Jayson Tatum,Basketball,United States,82.2,54.2,28.0
19,Erling Haaland,Soccer,Norway,80.0,60.0,20.0
20,Rory McIlroy,Golf,United Kingdom,76.4,26.4,50.0
21,Lamar Jackson,Football,United States,73.0,71.0,2.0
22,Josh Allen,Football,United States,72.6,55.1,17.5
23,Jake Paul,Boxing,United States,70.0,60.0,10.0
24,Shai Gilgeous-Alexander,Basketball,Canada,69.3,39.3,30.0
25,Anthony Edwards,Basketball,United States,69.0,46.0,23.0
25,Kyle Tucker,Baseball,United States,69.0,68.0,1.0
27,Jimmy Butler,Basketball,United States,68.2,54.2,14.0
28,Joel Embiid,Basketball,United States,65.2,55.2,10.0
29,Jared Goff,Football,United States,63.1,58.1,5.0
30,Devin Booker,Basketball,United States,62.4,53.4,9.0
31,Nikola Jokic,Basketball,Serbia,62.3,55.3,7.0
32,Carlos Alcaraz,Tennis,Spain,61.5,23.5,38.0
33,Luka Doncic,Basketball,Slovenia,60.9,45.9,15.0
34,Lando Norris,Auto Racing,United Kingdom,60.0,55.0,5.0
34,Vinicius Junior,Soccer,Brazil,60.0,40.0,20.0
36,Cade Cunningham,Basketball,United States,58.6,46.6,12.0
37,Anthony Davis,Basketball,United States,58.1,54.1,4.0
37,Kawhi Leonard,Basketball,United States,58.1,50.1,8.0
39,Karl-Anthony Towns,Basketball,Dominican Republic,57.9,53.9,4.0
40,Jaylen Brown,Basketball,United States,57.5,53.5,4.0
41,Tyrese Haliburton,Basketball,United States,57.0,46.0,11.0
42,Daniel Jones,Football,United States,56.6,54.6,2.0
42,Donovan Mitchell,Basketball,United States,56.6,46.6,10.0
42,Jalen Hurts,Football,United States,56.6,51.6,5.0
45,Jordan Love,Football,United States,56.5,52.5,4.0
46,James Harden,Basketball,United States,55.6,39.6,16.0
47,Bryson DeChambeau,Golf,United States,55.0,45.0,10.0
47,Mohamed Salah,Soccer,Egypt,55.0,35.0,20.0
49,Bo Bichette,Baseball,United States,54.8,54.4,0.4
50,Jannik Sinner,Tennis,Italy,54.6,22.6,32.0
