Year,Title,IMDb Rating,Peak 1995-99
1988,The Dark Side of the Sun,5.4,0
1989,Cutting Class,4.6,0
1989,Happy Together,5.8,0
1990,Across the Tracks,5.8,0
1991,Johnny Suede,5.7,0
1991,Thelma & Louise,7.6,0
1992,A River Runs Through It,7.2,0
1992,Cool World,4.9,0
1993,Kalifornia,6.7,0
1993,True Romance,7.9,0
1994,Interview with the Vampire: The Vampire Chronicles,7.5,0
1994,Legends of the Fall,7.5,0
1994,The Favour,5.2,0
1995,Seven,8.6,1
1995,Twelve Monkeys,8.0,1
1996,Sleepers,7.5,1
1997,Seven Years in Tibet,7.1,1
1997,The Devil's Own,6.2,1
1998,Meet Joe Black,7.2,1
1999,Fight Club,8.8,1
2000,Snatch,8.2,0
2001,Ocean's Eleven,7.7,0
2001,Spy Game,7.1,0
2001,The Mexican,6.1,0
2003,Sinbad: Legend of the Seven Seas,6.8,0
2004,Ocean's Twelve,6.5,0
2004,Troy,7.3,0
2005,Mr. & Mrs. Smith,6.5,0
2006,Babel,7.4,0
2007,Ocean's Thirteen,6.9,0
2007,The Assassination of Jesse James by the Coward Robert Ford,7.5,0
2008,Burn After Reading,7.0,0
2008,The Curious Case of Benjamin Button,7.8,0
2009,Inglourious Basterds,8.4,0
2010,Megamind,7.3,0
2011,Happy Feet Two,5.8,0
2011,Moneyball,7.6,0
2011,The Tree of Life,6.8,0
2012,Killing Them Softly,6.2,0
2013,12 Years a Slave,8.1,0
2013,The Counsellor,5.4,0
2013,World War Z,7.0,0
2014,Fury,7.6,0
2015,By the Sea,5.3,0
2015,The Big Short,7.8,0
2016,Allied,7.1,0
2017,War Machine,6.0,0
2019,Ad Astra,6.5,0
2019,Once Upon a Time... in Hollywood,7.6,0
2022,Babylon,7.1,0
2022,Bullet Train,7.3,0
2022,The Lost City,6.1,0
2024,Wolfs,6.5,0
2025,F1,7.6,0
