Position,Const,Created,Modified,Description,Title,Original Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors
1,tt2024544,2020-02-16,2020-02-16,,"12 Years a Slave","12 Years a Slave",https://www.imdb.com/title/tt2024544/,Movie,8.1,134,2013,"Biography, Drama, History",794186,2014-01-10,"Steve McQueen"
2,tt0114369,2020-02-16,2020-02-16,,"Seven","Se7en",https://www.imdb.com/title/tt0114369/,Movie,8.6,127,1995,"Crime, Drama, Mystery, Thriller",2056458,1996-01-05,"David Fincher"
3,tt1210166,2020-02-16,2020-02-16,,"Moneyball","Moneyball",https://www.imdb.com/title/tt1210166/,Movie,7.6,133,2011,"Biography, Drama, Sport",516746,2011-11-25,"Bennett Miller"
4,tt0114746,2020-02-16,2020-02-16,,"Twelve Monkeys","Twelve Monkeys",https://www.imdb.com/title/tt0114746/,Movie,8.0,129,1995,"Mystery, Sci-Fi, Thriller",684094,1996-04-19,"Terry Gilliam"
5,tt0137523,2020-02-16,2020-02-16,,"Fight Club","Fight Club",https://www.imdb.com/title/tt0137523/,Movie,8.8,139,1999,"Crime, Drama, Thriller",2658127,1999-11-12,"David Fincher"
6,tt0361748,2020-02-16,2020-02-16,,"Inglourious Basterds","Inglourious Basterds",https://www.imdb.com/title/tt0361748/,Movie,8.4,153,2009,"Drama, War",1816177,2009-08-19,"Quentin Tarantino"
7,tt0103074,2020-02-16,2020-02-16,,"Thelma & Louise","Thelma & Louise",https://www.imdb.com/title/tt0103074/,Movie,7.6,130,1991,"Adventure, Crime, Drama",196508,1991-07-12,"Ridley Scott"
8,tt7131622,2020-02-16,2020-02-16,,"Once Upon a Time... in Hollywood","Once Upon a Time in... Hollywood",https://www.imdb.com/title/tt7131622/,Movie,7.6,161,2019,"Comedy, Drama",977426,2019-08-14,"Quentin Tarantino"
9,tt0108399,2020-02-16,2020-02-16,,"True Romance","True Romance",https://www.imdb.com/title/tt0108399/,Movie,7.9,119,1993,"Crime, Drama, Romance, Thriller",263503,1993-10-15,"Tony Scott"
10,tt1596363,2020-02-16,2020-02-16,,"The Big Short","The Big Short",https://www.imdb.com/title/tt1596363/,Movie,7.8,130,2015,"Biography, Comedy, Drama, History",547499,2016-01-22,"Adam McKay"
11,tt0240772,2020-02-16,2020-02-16,,"Ocean's Eleven","Ocean's Eleven",https://www.imdb.com/title/tt0240772/,Movie,7.7,116,2001,"Crime, Thriller",682801,2002-02-15,"Steven Soderbergh"
12,tt0208092,2020-02-16,2020-02-16,,"Snatch","Snatch",https://www.imdb.com/title/tt0208092/,Movie,8.2,104,2000,"Comedy, Crime",985125,2000-09-01,"Guy Ritchie"
13,tt0443680,2020-02-16,2020-02-16,,"The Assassination of Jesse James by the Coward Robert Ford","The Assassination of Jesse James by the Coward Robert Ford",https://www.imdb.com/title/tt0443680/,Movie,7.5,160,2007,"Biography, Crime, Drama, History, Western",206226,2007-11-30,"Andrew Dominik"
14,tt16311594,2026-05-26,2026-05-26,,"F1","F1",https://www.imdb.com/title/tt16311594/,Movie,7.6,155,2025,"Drama, Sport",390862,2025-06-25,"Joseph Kosinski"
15,tt0421715,2020-02-16,2020-02-16,,"The Curious Case of Benjamin Button","The Curious Case of Benjamin Button",https://www.imdb.com/title/tt0421715/,Movie,7.8,166,2008,"Drama, Fantasy, Romance",753917,2009-02-06,"David Fincher"
16,tt0449467,2020-02-16,2020-02-16,,"Babel","Babel",https://www.imdb.com/title/tt0449467/,Movie,7.4,143,2006,"Drama",330880,2007-01-19,"Alejandro G. Iñárritu"
17,tt0478304,2020-02-16,2020-02-16,,"The Tree of Life","The Tree of Life",https://www.imdb.com/title/tt0478304/,Movie,6.8,139,2011,"Drama, Fantasy",193396,2011-07-08,"Terrence Malick"
18,tt2713180,2020-02-16,2020-02-16,,"Fury","Fury",https://www.imdb.com/title/tt2713180/,Movie,7.6,134,2014,"Action, Drama, War",618110,2014-10-22,"David Ayer"
19,tt0105265,2020-02-16,2020-02-16,,"A River Runs Through It","A River Runs Through It",https://www.imdb.com/title/tt0105265/,Movie,7.2,123,1992,"Drama",72016,1993-02-19,"Robert Redford"
20,tt0117665,2020-02-16,2020-02-16,,"Sleepers","Sleepers",https://www.imdb.com/title/tt0117665/,Movie,7.5,147,1996,"Crime, Drama, Thriller",257576,1997-01-03,"Barry Levinson"
21,tt1001526,2020-02-16,2020-02-16,,"Megamind","Megamind",https://www.imdb.com/title/tt1001526/,Movie,7.3,95,2010,"Animation, Action, Adventure, Comedy, Crime, Family, Fantasy, Sci-Fi",330403,2010-12-03,"Tom McGrath"
