Rank,Film,Year,Character,Role,IMDb Quote Entries,Fury Highlight
1,Fight Club,1999,Tyler Durden,Tyler Durden — Fight Club,105,0
2,Interview with the Vampire: The Vampire Chronicles,1994,Louis,Louis — Interview with the Vampire,60,0
3,Moneyball,2011,Billy Beane,Billy Beane — Moneyball,53,0
4,Troy,2004,Achilles,Achilles — Troy,50,0
5,F1,2025,Sonny Hayes,Sonny Hayes — F1,46,0
6,Seven,1995,Mills,Mills — Se7en,45,0
7,Ocean's Eleven,2001,Rusty Ryan,Rusty Ryan — Ocean's Eleven,42,0
8,Fury,2014,Don 'Wardaddy' Collier,Wardaddy — Fury,40,1
9,Meet Joe Black,1998,Joe Black • Young Man in Coffee Shop,Joe Black — Meet Joe Black,39,0
10,Sinbad: Legend of the Seven Seas,2003,Sinbad,Sinbad — Sinbad,39,0
11,Kalifornia,1993,Early Grayce,Early Grayce — Kalifornia,34,0
12,Inglourious Basterds,2009,Lt. Aldo Raine,Aldo Raine — Inglourious Basterds,32,0
