Film,Year,Character,IMDb Quote Entries,IMDb Rating,Fury Highlight,Label
Fight Club,1999,Tyler Durden,105,8.8,0,Fight Club · Tyler Durden
Interview with the Vampire: The Vampire Chronicles,1994,Louis,60,7.5,0,
Moneyball,2011,Billy Beane,53,7.6,0,
Troy,2004,Achilles,50,7.3,0,
F1,2025,Sonny Hayes,46,7.6,0,
Seven,1995,Mills,45,8.6,0,
Ocean's Eleven,2001,Rusty Ryan,42,7.7,0,
Fury,2014,Don 'Wardaddy' Collier,40,7.6,1,Fury · Wardaddy
Meet Joe Black,1998,Joe Black • Young Man in Coffee Shop,39,7.2,0,
Sinbad: Legend of the Seven Seas,2003,Sinbad,39,6.8,0,Sinbad
Kalifornia,1993,Early Grayce,34,6.7,0,
Inglourious Basterds,2009,Lt. Aldo Raine,32,8.4,0,
Seven Years in Tibet,1997,Heinrich Harrer,31,7.1,0,
Once Upon a Time... in Hollywood,2019,Cliff Booth,29,7.6,0,
Babylon,2022,Jack Conrad,29,7.1,0,
12 Monkeys,1995,Jeffrey Goines,28,8.0,0,
Allied,2016,Max Vatan,27,7.1,0,
Ad Astra,2019,Roy McBride,25,6.5,0,
The Curious Case of Benjamin Button,2008,Benjamin Button,24,7.8,0,
Bullet Train,2022,Ladybug,21,7.3,0,
Spy Game,2001,Tom Bishop,18,7.1,0,
The Mexican,2001,Jerry Welbach,17,6.1,0,
Ocean's Thirteen,2007,Rusty Ryan,17,6.9,0,
Legends of the Fall,1994,Tristan,15,7.5,0,
Burn After Reading,2008,Chad Feldheimer,14,7.0,0,
Ocean's Twelve,2004,Rusty Ryan,13,6.5,0,
Cool World,1992,Frank Harris,13,4.9,0,
War Machine,2017,Glen McMahon,13,6.0,0,
Wolfs,2024,Pam's Man,12,6.5,0,
Killing Them Softly,2012,Jackie,12,6.2,0,
The Devil's Own,1997,Rory Devaney,12,6.2,0,
Megamind,2010,Metro Man,12,7.3,0,
Snatch,2000,Mickey O'Neil,10,8.2,0,
By the Sea,2015,Roland,7,5.3,0,
World War Z,2013,Gerry Lane,7,7.0,0,
A River Runs Through It,1992,Paul Maclean,6,7.2,0,
Thelma & Louise,1991,J.D.,6,7.6,0,
The Counselor,2013,Westray,6,5.4,0,
Cutting Class,1989,Dwight Ingalls,5,4.6,0,
Happy Feet Two,2011,Will the Krill,5,5.8,0,
The Big Short,2015,Ben Rickert,4,7.8,0,The Big Short
The Lost City,2022,Jack Trainer,4,6.1,0,
12 Years a Slave,2013,Bass,2,8.1,0,12 Years a Slave
The Dark Side of the Sun,1988,Rick,1,5.4,0,
