film,tconst,year,imdb_rating,character,imdb_quote_entries,character_page,checked_date
Fight Club,tt0137523,1999,8.8,Tyler Durden,105,https://www.imdb.com/title/tt0137523/characters/nm0000093/,2026-09-23
Interview with the Vampire: The Vampire Chronicles,tt0110148,1994,7.5,Louis,60,https://www.imdb.com/title/tt0110148/characters/nm0000093/,2026-09-23
Moneyball,tt1210166,2011,7.6,Billy Beane,53,https://www.imdb.com/title/tt1210166/characters/nm0000093/,2026-09-23
Troy,tt0332452,2004,7.3,Achilles,50,https://www.imdb.com/title/tt0332452/characters/nm0000093/,2026-09-23
F1,tt16311594,2025,7.6,Sonny Hayes,46,https://www.imdb.com/title/tt16311594/characters/nm0000093/,2026-09-23
Seven,tt0114369,1995,8.6,Mills,45,https://www.imdb.com/title/tt0114369/characters/nm0000093/,2026-09-23
Ocean's Eleven,tt0240772,2001,7.7,Rusty Ryan,42,https://www.imdb.com/title/tt0240772/characters/nm0000093/,2026-09-23
Fury,tt2713180,2014,7.6,Don 'Wardaddy' Collier,40,https://www.imdb.com/title/tt2713180/characters/nm0000093/,2026-09-23
Meet Joe Black,tt0119643,1998,7.2,Joe Black • Young Man in Coffee Shop,39,https://www.imdb.com/title/tt0119643/characters/nm0000093/,2026-09-23
Kalifornia,tt0107302,1993,6.7,Early Grayce,34,https://www.imdb.com/title/tt0107302/characters/nm0000093/,2026-09-23
Inglourious Basterds,tt0361748,2009,8.4,Lt. Aldo Raine,32,https://www.imdb.com/title/tt0361748/characters/nm0000093/,2026-09-23
Seven Years in Tibet,tt0120102,1997,7.1,Heinrich Harrer,31,https://www.imdb.com/title/tt0120102/characters/nm0000093/,2026-09-23
Once Upon a Time... in Hollywood,tt7131622,2019,7.6,Cliff Booth,29,https://www.imdb.com/title/tt7131622/characters/nm0000093/,2026-09-23
Babylon,tt10640346,2022,7.1,Jack Conrad,29,https://www.imdb.com/title/tt10640346/characters/nm0000093/,2026-09-23
12 Monkeys,tt0114746,1995,8.0,Jeffrey Goines,28,https://www.imdb.com/title/tt0114746/characters/nm0000093/,2026-09-23
Allied,tt3640424,2016,7.1,Max Vatan,27,https://www.imdb.com/title/tt3640424/characters/nm0000093/,2026-09-23
Ad Astra,tt2935510,2019,6.5,Roy McBride,25,https://www.imdb.com/title/tt2935510/characters/nm0000093/,2026-09-23
Bullet Train,tt12593682,2022,7.3,Ladybug,21,https://www.imdb.com/title/tt12593682/characters/nm0000093/,2026-09-23
Spy Game,tt0266987,2001,7.1,Tom Bishop,18,https://www.imdb.com/title/tt0266987/characters/nm0000093/,2026-09-23
The Mexican,tt0236493,2001,6.1,Jerry Welbach,17,https://www.imdb.com/title/tt0236493/characters/nm0000093/,2026-09-23
Ocean's Thirteen,tt0496806,2007,6.9,Rusty Ryan,17,https://www.imdb.com/title/tt0496806/characters/nm0000093/,2026-09-23
Legends of the Fall,tt0110322,1994,7.5,Tristan,15,https://www.imdb.com/title/tt0110322/characters/nm0000093/,2026-09-23
Burn After Reading,tt0887883,2008,7.0,Chad Feldheimer,14,https://www.imdb.com/title/tt0887883/characters/nm0000093/,2026-09-23
Ocean's Twelve,tt0349903,2004,6.5,Rusty Ryan,13,https://www.imdb.com/title/tt0349903/characters/nm0000093/,2026-09-23
Cool World,tt0104009,1992,4.9,Frank Harris,13,https://www.imdb.com/title/tt0104009/characters/nm0000093/,2026-09-23
Wolfs,tt14257582,2024,6.5,Pam's Man,12,https://www.imdb.com/title/tt14257582/characters/nm0000093/,2026-09-23
Killing Them Softly,tt1764234,2012,6.2,Jackie,12,https://www.imdb.com/title/tt1764234/characters/nm0000093/,2026-09-23
The Devil's Own,tt0118972,1997,6.2,Rory Devaney,12,https://www.imdb.com/title/tt0118972/characters/nm0000093/,2026-09-23
Megamind,tt1001526,2010,7.3,Metro Man,12,https://www.imdb.com/title/tt1001526/characters/nm0000093/,2026-09-23
Snatch,tt0208092,2000,8.2,Mickey O'Neil,10,https://www.imdb.com/title/tt0208092/characters/nm0000093/,2026-09-23
World War Z,tt0816711,2013,7.0,Gerry Lane,7,https://www.imdb.com/title/tt0816711/characters/nm0000093/,2026-09-23
A River Runs Through It,tt0105265,1992,7.2,Paul Maclean,6,https://www.imdb.com/title/tt0105265/characters/nm0000093/,2026-09-23
Cutting Class,tt0097136,1989,4.6,Dwight Ingalls,5,https://www.imdb.com/title/tt0097136/characters/nm0000093/,2026-09-23
The Big Short,tt1596363,2015,7.8,Ben Rickert,4,https://www.imdb.com/title/tt1596363/characters/nm0000093/,2026-09-23
12 Years a Slave,tt2024544,2013,8.1,Bass,2,https://www.imdb.com/title/tt2024544/characters/nm0000093/,2026-09-23
