film,tconst,year,character,status,note,checked_date
True Romance,tt0108399,1993,Floyd,unresolved,"IMDb title quote material is indexed, but a reliable Brad Pitt character-page quote-entry count was not exposed in the indexed result.",2026-09-23
The Assassination of Jesse James by the Coward Robert Ford,tt0443680,2007,Jesse James,unresolved,"A reliable Brad Pitt character-page quote-entry count was not exposed in the indexed result.",2026-09-23
Babel,tt0449467,2006,Richard,unresolved,"IMDb title quote material is indexed, but a reliable Brad Pitt character-page quote-entry count was not exposed in the indexed result.",2026-09-23
The Tree of Life,tt0478304,2011,Mr. O'Brien,unresolved,"A reliable Brad Pitt character-page quote-entry count was not exposed in the indexed result.",2026-09-23
Sleepers,tt0117665,1996,Michael Sullivan,unresolved,"A reliable Brad Pitt character-page quote-entry count was not exposed in the indexed result.",2026-09-23
Mr. & Mrs. Smith,tt0356910,2005,John Smith,unresolved,"IMDb character content is indexed, but the total Brad Pitt character-page quote-entry count was not exposed reliably.",2026-09-23
Johnny Suede,tt0104567,1991,Johnny Suede,unresolved,"A reliable Brad Pitt character-page quote-entry count was not exposed in the indexed result.",2026-09-23
The Favour,tt0109783,1994,Elliott Fowler,unresolved,"The IMDb Brad Pitt character page was found but did not expose a reliable quote-entry count; do not infer zero.",2026-09-23
Happy Together,tt0097478,1989,Brian,unresolved,"IMDb title quote material is indexed, but a reliable Brad Pitt character-page quote-entry count was not exposed in the indexed result.",2026-09-23
Across the Tracks,tt0101268,1990,Joe Maloney,unresolved,"A reliable Brad Pitt character-page quote-entry count was not exposed in the indexed result.",2026-09-23
