sequence,year,title,display_title,decade
1,1967,David Bowie,David Bowie,1960s
2,1969,Space Oddity,Space Oddity,1960s
3,1970,The Man Who Sold the World,The Man Who Sold the World,1970s
4,1971,Hunky Dory,Hunky Dory,1970s
5,1972,The Rise and Fall of Ziggy Stardust and the Spiders from Mars,Ziggy Stardust,1970s
6,1973,Aladdin Sane,Aladdin Sane,1970s
7,1973,Pin Ups,Pin Ups,1970s
8,1974,Diamond Dogs,Diamond Dogs,1970s
9,1975,Young Americans,Young Americans,1970s
10,1976,Station to Station,Station to Station,1970s
11,1977,Low,Low,1970s
12,1977,Heroes,Heroes,1970s
13,1979,Lodger,Lodger,1970s
14,1980,Scary Monsters,Scary Monsters,1980s
15,1983,Let's Dance,Let's Dance,1980s
16,1984,Tonight,Tonight,1980s
17,1987,Never Let Me Down,Never Let Me Down,1980s
18,1993,Black Tie White Noise,Black Tie White Noise,1990s
19,1993,The Buddha of Suburbia,Buddha of Suburbia,1990s
20,1995,1. Outside,1. Outside,1990s
21,1997,Earthling,Earthling,1990s
22,1999,Hours,Hours,1990s
23,2002,Heathen,Heathen,2000s
24,2003,Reality,Reality,2000s
25,2013,The Next Day,The Next Day,2010s
26,2016,Blackstar,Blackstar,2010s
