sequence,year,title,style,style_order,style_frequency
1,1967,David Bowie,Psychedelic Pop,2,1
1,1967,David Bowie,Psychedelic/Garage,3,1
1,1967,David Bowie,Baroque Pop,1,1
2,1969,Space Oddity,Album Rock,4,16
2,1969,Space Oddity,British Psychedelia,6,1
2,1969,Space Oddity,British Folk-Rock,5,2
3,1970,The Man Who Sold the World,Album Rock,4,16
3,1970,The Man Who Sold the World,Glam Rock,9,6
3,1970,The Man Who Sold the World,Hard Rock,8,7
3,1970,The Man Who Sold the World,Proto-Punk,7,11
4,1971,Hunky Dory,Album Rock,4,16
4,1971,Hunky Dory,Glam Rock,9,6
4,1971,Hunky Dory,Proto-Punk,7,11
4,1971,Hunky Dory,British Folk-Rock,5,2
4,1971,Hunky Dory,Singer/Songwriter,10,2
5,1972,The Rise and Fall of Ziggy Stardust and the Spiders from Mars,Album Rock,4,16
5,1972,The Rise and Fall of Ziggy Stardust and the Spiders from Mars,Glam Rock,9,6
5,1972,The Rise and Fall of Ziggy Stardust and the Spiders from Mars,Hard Rock,8,7
5,1972,The Rise and Fall of Ziggy Stardust and the Spiders from Mars,Proto-Punk,7,11
5,1972,The Rise and Fall of Ziggy Stardust and the Spiders from Mars,Singer/Songwriter,10,2
6,1973,Aladdin Sane,Glam Rock,9,6
6,1973,Aladdin Sane,Hard Rock,8,7
6,1973,Aladdin Sane,Proto-Punk,7,11
6,1973,Aladdin Sane,Album Rock,4,16
7,1973,Pin Ups,Album Rock,4,16
7,1973,Pin Ups,Glam Rock,9,6
7,1973,Pin Ups,Hard Rock,8,7
7,1973,Pin Ups,Proto-Punk,7,11
8,1974,Diamond Dogs,Glam Rock,9,6
8,1974,Diamond Dogs,Hard Rock,8,7
8,1974,Diamond Dogs,Proto-Punk,7,11
9,1975,Young Americans,Album Rock,4,16
9,1975,Young Americans,Blue-Eyed Soul,12,5
9,1975,Young Americans,Dance-Rock,11,13
10,1976,Station to Station,Album Rock,4,16
10,1976,Station to Station,Blue-Eyed Soul,12,5
10,1976,Station to Station,Dance-Rock,11,13
10,1976,Station to Station,Proto-Punk,7,11
11,1977,Low,Album Rock,4,16
11,1977,Low,Experimental,14,2
11,1977,Low,Alternative/Indie Rock,13,6
11,1977,Low,Dance-Rock,11,13
11,1977,Low,Proto-Punk,7,11
12,1977,Heroes,Album Rock,4,16
12,1977,Heroes,Alternative/Indie Rock,13,6
12,1977,Heroes,Dance-Rock,11,13
12,1977,Heroes,Experimental,14,2
12,1977,Heroes,Proto-Punk,7,11
13,1979,Lodger,Album Rock,4,16
13,1979,Lodger,Alternative/Indie Rock,13,6
13,1979,Lodger,Dance-Rock,11,13
13,1979,Lodger,Proto-Punk,7,11
14,1980,Scary Monsters,Album Rock,4,16
14,1980,Scary Monsters,Dance-Rock,11,13
14,1980,Scary Monsters,Post-Punk,15,1
14,1980,Scary Monsters,Alternative/Indie Rock,13,6
14,1980,Scary Monsters,Proto-Punk,7,11
15,1983,Let's Dance,New Wave,16,1
15,1983,Let's Dance,Album Rock,4,16
15,1983,Let's Dance,Dance-Rock,11,13
15,1983,Let's Dance,Blue-Eyed Soul,12,5
16,1984,Tonight,Blue-Eyed Soul,12,5
16,1984,Tonight,Dance-Rock,11,13
16,1984,Tonight,Dance-Pop,17,1
16,1984,Tonight,Sophisti-Pop,18,1
17,1987,Never Let Me Down,Dance-Rock,11,13
17,1987,Never Let Me Down,Album Rock,4,16
18,1993,Black Tie White Noise,Dance-Rock,11,13
18,1993,Black Tie White Noise,Blue-Eyed Soul,12,5
19,1993,The Buddha of Suburbia,Soundtracks,19,1
20,1995,1. Outside,Dance-Rock,11,13
21,1997,Earthling,Hard Rock,8,7
21,1997,Earthling,Dance-Rock,11,13
21,1997,Earthling,Alternative Pop/Rock,20,1
21,1997,Earthling,Alternative/Indie Rock,13,6
22,1999,Hours,Alternative/Indie Rock,13,6
22,1999,Hours,Hard Rock,8,7
22,1999,Hours,Adult Alternative Pop/Rock,21,1
23,2002,Heathen,Album Rock,4,16
24,2003,Reality,Album Rock,4,16
24,2003,Reality,Dance-Rock,11,13
