from_sequence,to_sequence,from_year,to_year,from_album,to_album,display_album,style_reset_score,reset_percent,plot_position,analysis_status,missing_note
1,2,1967,1969,David Bowie,Space Oddity,Space Oddity,0.8889,88.9,0.8889,calculated,
2,3,1969,1970,Space Oddity,The Man Who Sold the World,The Man Who Sold the World,0.5556,55.6,0.5556,calculated,
3,4,1970,1971,The Man Who Sold the World,Hunky Dory,Hunky Dory,0.3333,33.3,0.3333,calculated,
4,5,1971,1972,Hunky Dory,The Rise and Fall of Ziggy Stardust and the Spiders from Mars,Ziggy Stardust,0.2222,22.2,0.2222,calculated,
5,6,1972,1973,The Rise and Fall of Ziggy Stardust and the Spiders from Mars,Aladdin Sane,Aladdin Sane,0.1250,12.5,0.1250,calculated,
6,7,1973,1973,Aladdin Sane,Pin Ups,Pin Ups,0.0000,0.0,0.0000,calculated,
7,8,1973,1974,Pin Ups,Diamond Dogs,Diamond Dogs,0.1429,14.3,0.1429,calculated,
8,9,1974,1975,Diamond Dogs,Young Americans,Young Americans,0.6667,66.7,0.6667,calculated,
9,10,1975,1976,Young Americans,Station to Station,Station to Station,0.1429,14.3,0.1429,calculated,
10,11,1976,1977,Station to Station,Low,Low,0.3333,33.3,0.3333,calculated,
11,12,1977,1977,Low,Heroes,Heroes,0.0000,0.0,0.0000,calculated,
12,13,1977,1979,Heroes,Lodger,Lodger,0.1250,12.5,0.1250,calculated,
13,14,1979,1980,Lodger,Scary Monsters,Scary Monsters,0.1250,12.5,0.1250,calculated,
14,15,1980,1983,Scary Monsters,Let's Dance,Let's Dance,0.6000,60.0,0.6000,calculated,
15,16,1983,1984,Let's Dance,Tonight,Tonight,0.6250,62.5,0.6250,calculated,
16,17,1984,1987,Tonight,Never Let Me Down,Never Let Me Down,0.7500,75.0,0.7500,calculated,
17,18,1987,1993,Never Let Me Down,Black Tie White Noise,Black Tie White Noise,0.3333,33.3,0.3333,calculated,
18,19,1993,1993,Black Tie White Noise,The Buddha of Suburbia,Buddha of Suburbia,0.5000,50.0,0.5000,calculated,
19,20,1993,1995,The Buddha of Suburbia,1. Outside,1. Outside,0.6000,60.0,0.6000,calculated,
20,21,1995,1997,1. Outside,Earthling,Earthling,0.5714,57.1,0.5714,calculated,
21,22,1997,1999,Earthling,Hours,Hours,0.3750,37.5,0.3750,calculated,
22,23,1999,2002,Hours,Heathen,Heathen,0.5714,57.1,0.5714,calculated,
23,24,2002,2003,Heathen,Reality,Reality,0.2000,20.0,0.2000,calculated,
24,25,2003,2013,Reality,The Next Day,The Next Day,,,-0.035,not_calculated_missing_allmusic_styles,No comparable Styles data
25,26,2013,2016,The Next Day,Blackstar,Blackstar,,,-0.035,not_calculated_missing_allmusic_styles,No comparable Styles data
