sequence,year,title,allmusic_styles,allmusic_style_count,allmusic_source_url,style_metadata_status,musicbrainz_genres_supplement,supplemental_source_url,scope_note
1,1967,David Bowie,Contemporary Pop/Rock|Psychedelic Pop|Psychedelic/Garage|Baroque Pop,4,https://www.allmusic.com/album/david-bowie-1967--mw0000198656,allmusic_styles_available,,,
2,1969,Space Oddity,Album Rock|Art Rock|British Psychedelia|Contemporary Pop/Rock|Experimental Rock|British Folk-Rock,6,https://www.allmusic.com/album/david-bowie-space-oddity--mw0000251934,allmusic_styles_available,,,
3,1970,The Man Who Sold the World,Album Rock|Art Rock|Experimental Rock|Glam Rock|Hard Rock|Proto-Punk|Contemporary Pop/Rock,7,https://www.allmusic.com/album/the-man-who-sold-the-world-mw0000098879,allmusic_styles_available,,,
4,1971,Hunky Dory,Album Rock|Art Rock|Contemporary Pop/Rock|Experimental Rock|Glam Rock|Proto-Punk|British Folk-Rock|Singer/Songwriter,8,https://www.allmusic.com/album/hunky-dory-mw0000189509,allmusic_styles_available,,,
5,1972,The Rise and Fall of Ziggy Stardust and the Spiders from Mars,Album Rock|Art Rock|Experimental Rock|Glam Rock|Hard Rock|Proto-Punk|Contemporary Pop/Rock|Singer/Songwriter,8,https://www.allmusic.com/album/the-rise-and-fall-of-ziggy-stardust-and-the-spiders-from-mars-mw0000626129,allmusic_styles_available,,,
6,1973,Aladdin Sane,Art Rock|Contemporary Pop/Rock|Experimental Rock|Glam Rock|Hard Rock|Proto-Punk|Album Rock,7,https://www.allmusic.com/album/aladdin-sane-mw0000247727,allmusic_styles_available,,,
7,1973,Pin Ups,Album Rock|Art Rock|Experimental Rock|Glam Rock|Hard Rock|Proto-Punk|Contemporary Pop/Rock,7,https://www.allmusic.com/album/pin-ups-mw0000034411,allmusic_styles_available,,,
8,1974,Diamond Dogs,Art Rock|Contemporary Pop/Rock|Experimental Rock|Glam Rock|Hard Rock|Proto-Punk,6,https://www.allmusic.com/album/diamond-dogs-mw0000597759,allmusic_styles_available,,,
9,1975,Young Americans,Album Rock|Art Rock|Blue-Eyed Soul|Contemporary Pop/Rock|Experimental Rock|Dance-Rock,6,https://www.allmusic.com/album/young-americans-mw0000098919,allmusic_styles_available,,,
10,1976,Station to Station,Album Rock|Art Rock|Contemporary Pop/Rock|Experimental Rock|Blue-Eyed Soul|Dance-Rock|Proto-Punk,7,https://www.allmusic.com/album/station-to-station-mw0000098920,allmusic_styles_available,,,
11,1977,Low,Album Rock|Art Rock|Experimental Rock|Experimental|Alternative/Indie Rock|Dance-Rock|Proto-Punk|Contemporary Pop/Rock,8,https://www.allmusic.com/album/low-mw0000185800,allmusic_styles_available,,,
