from_sequence,to_sequence,from_year,to_year,from_album,to_album,shared_style_count,union_style_count,jaccard_similarity,style_reset_score,styles_introduced,styles_dropped,analysis_status
1,2,1967,1969,David Bowie,Space Oddity,1,9,0.1111,0.8889,Album Rock|Art Rock|British Folk-Rock|British Psychedelia|Experimental Rock,Baroque Pop|Psychedelic Pop|Psychedelic/Garage,calculated
2,3,1969,1970,Space Oddity,The Man Who Sold the World,4,9,0.4444,0.5556,Glam Rock|Hard Rock|Proto-Punk,British Folk-Rock|British Psychedelia,calculated
3,4,1970,1971,The Man Who Sold the World,Hunky Dory,6,9,0.6667,0.3333,British Folk-Rock|Singer/Songwriter,Hard Rock,calculated
4,5,1971,1972,Hunky Dory,The Rise and Fall of Ziggy Stardust and the Spiders from Mars,7,9,0.7778,0.2222,Hard Rock,British Folk-Rock,calculated
5,6,1972,1973,The Rise and Fall of Ziggy Stardust and the Spiders from Mars,Aladdin Sane,7,8,0.8750,0.1250,,Singer/Songwriter,calculated
6,7,1973,1973,Aladdin Sane,Pin Ups,7,7,1.0000,0.0000,,,calculated
7,8,1973,1974,Pin Ups,Diamond Dogs,6,7,0.8571,0.1429,,Album Rock,calculated
8,9,1974,1975,Diamond Dogs,Young Americans,3,9,0.3333,0.6667,Album Rock|Blue-Eyed Soul|Dance-Rock,Glam Rock|Hard Rock|Proto-Punk,calculated
9,10,1975,1976,Young Americans,Station to Station,6,7,0.8571,0.1429,Proto-Punk,,calculated
10,11,1976,1977,Station to Station,Low,6,9,0.6667,0.3333,Alternative/Indie Rock|Experimental,Blue-Eyed Soul,calculated
11,12,1977,1977,Low,Heroes,8,8,1.0000,0.0000,,,calculated
12,13,1977,1979,Heroes,Lodger,7,8,0.8750,0.1250,,Experimental,calculated
13,14,1979,1980,Lodger,Scary Monsters,7,8,0.8750,0.1250,Post-Punk,,calculated
14,15,1980,1983,Scary Monsters,Let's Dance,4,10,0.4000,0.6000,Blue-Eyed Soul|New Wave,Alternative/Indie Rock|Experimental Rock|Post-Punk|Proto-Punk,calculated
15,16,1983,1984,Let's Dance,Tonight,3,8,0.3750,0.6250,Dance-Pop|Sophisti-Pop,Album Rock|Art Rock|New Wave,calculated
16,17,1984,1987,Tonight,Never Let Me Down,2,8,0.2500,0.7500,Album Rock|Art Rock|Experimental Rock,Blue-Eyed Soul|Dance-Pop|Sophisti-Pop,calculated
17,18,1987,1993,Never Let Me Down,Black Tie White Noise,4,6,0.6667,0.3333,Blue-Eyed Soul,Album Rock,calculated
18,19,1993,1993,Black Tie White Noise,The Buddha of Suburbia,3,6,0.5000,0.5000,Soundtracks,Blue-Eyed Soul|Dance-Rock,calculated
19,20,1993,1995,The Buddha of Suburbia,1. Outside,2,5,0.4000,0.6000,Dance-Rock,Contemporary Pop/Rock|Soundtracks,calculated
20,21,1995,1997,1. Outside,Earthling,3,7,0.4286,0.5714,Alternative Pop/Rock|Alternative/Indie Rock|Contemporary Pop/Rock|Hard Rock,,calculated
21,22,1997,1999,Earthling,Hours,5,8,0.6250,0.3750,Adult Alternative Pop/Rock,Alternative Pop/Rock|Dance-Rock,calculated
22,23,1999,2002,Hours,Heathen,3,7,0.4286,0.5714,Album Rock,Adult Alternative Pop/Rock|Alternative/Indie Rock|Hard Rock,calculated
23,24,2002,2003,Heathen,Reality,4,5,0.8000,0.2000,Dance-Rock,,calculated
24,25,2003,2013,Reality,The Next Day,,,,,,,not_calculated_missing_allmusic_styles
25,26,2013,2016,The Next Day,Blackstar,,,,,,,not_calculated_missing_allmusic_styles
