Title,FamilyScore,AdamEnjoys,KidsJoinIn,VerbalPlay,Device,Rank
Fox in Socks,5.0,5,5,1,Tongue twisters,1
Green Eggs and Ham,5.0,5,5,1,Cumulative rhyme + repetition,2
Hop on Pop,5.0,5,5,1,Phonics + rhyme + rhythm,3
Oh Say Can You Say?,5.0,5,5,1,Tongue twisters,4
One Fish Two Fish...,5.0,5,5,1,Rhyme + wordplay,5
What Pet Should I Get?,5.0,5,5,0,Decision story,6
I Can Read with My Eyes Shut!,4.5,4,5,0,Reading performance,7
The Cat in the Hat,4.0,4,4,0,Narrative + rhyme,8
There's a Wocket in My Pocket!,3.5,3,4,1,Rhyme + wordplay,9
The Cat in the Hat Comes Back,3.0,3,3,0,Narrative,10
Mr Brown Can Moo! Can You?,3.0,3,3,0,Sound imitation,11
Oh the Thinks You Can Think!,3.0,2,4,0,Imagination,12
The Shape of Me and Other Stuff,3.0,3,3,0,Concept + rhyme,13
Marvin K. Mooney...,2.5,2,3,0,Merry verse,14
Dr Seuss's ABC,2.0,1,3,0,Alliteration + alphabet,15
The Foot Book,1.0,1,1,0,Rhyming opposites,16
