title,kids_choose_it,adam_enjoys_reading,kids_join_in
The Cat in the Hat,,4,4
The Cat in the Hat Comes Back,,3,3
Dr. Seuss's ABC,,1,3
The Foot Book,,1,1
Fox in Socks,,5,5
Green Eggs and Ham,,5,5
Hop on Pop,,5,5
I Can Read with My Eyes Shut!,,4,5
Marvin K. Mooney Will You Please Go Now!,,2,3
Mr. Brown Can Moo! Can You?,,3,3
Oh, the Thinks You Can Think!,,2,4
Oh, Say Can You Say?,,5,5
One Fish Two Fish Red Fish Blue Fish,,5,5
The Shape of Me and Other Stuff,,3,3
There's a Wocket in My Pocket!,,3,4
What Pet Should I Get?,,5,5
