title,series,word_count,lexile,atos,metric_source,publisher_emphasis
The Cat in the Hat,Beginner Books,1621,430,2.1,TeachingBooks,narrative + simple rhyme
The Cat in the Hat Comes Back,Beginner Books,1674,450,2.1,Bookroo / Penguin Random House,narrative + read-aloud
Dr. Seuss's ABC,Beginner Books,365,,2.1,TeachingBooks,alphabet + alliteration
The Foot Book,Bright & Early Books,132,,0.6,TeachingBooks,opposites + rhyme + rhythm
Fox in Socks,Beginner Books,834,380,2.1,TeachingBooks,tongue twisters + rhyme
Green Eggs and Ham,Beginner Books,769,210,1.5,TeachingBooks,repetition + cumulative rhyme
Hop on Pop,Beginner Books,384,190,1.5,TeachingBooks,simple words + rhyme + rhythm
I Can Read with My Eyes Shut!,Beginner Books,372,380,2.2,TeachingBooks,reading theme + rhyme
Marvin K. Mooney Will You Please Go Now!,Bright & Early Books,251,280,1.1,TeachingBooks,repetition + merry verse
Mr. Brown Can Moo! Can You?,Bright & Early Books,,,1.8,Publisher / library metadata,sound imitation + participation
Oh, the Thinks You Can Think!,Beginner Books,367,360,1.8,TeachingBooks,imagination + short rhyming sentences
Oh, Say Can You Say?,Beginner Books,1186,,4.0,TeachingBooks,tongue twisters
One Fish Two Fish Red Fish Blue Fish,Beginner Books,1308,270,1.7,TeachingBooks,counting + rhyme + wordplay
The Shape of Me and Other Stuff,Bright & Early Books,206,440,1.7,TeachingBooks,concept book + rhyme
There's a Wocket in My Pocket!,Bright & Early Books,286,460,2.1,TeachingBooks,invented words + rhyme + wordplay
What Pet Should I Get?,Beginner Books,621,350,1.9,TeachingBooks,narrative + decision + rhyme
