villain_label,villain_name,villain_actor,film_title,year,villain_age,bond_actor,bond_age,age_gap
Rosa Klebb · '63,Colonel Rosa Klebb,Lotte Lenya,From Russia with Love,1963,64.98,Sean Connery,33.13,31.85
Kamal Khan · '83,Kamal Khan,Louis Jourdan,Octopussy,1983,61.96,Roger Moore,55.65,6.32
Stromberg · '77,Karl Stromberg,Curd Jürgens,The Spy Who Loved Me,1977,61.57,Roger Moore,49.73,11.84
Blofeld · '15,Franz Oberhauser / Ernst Stavro Blofeld,Christoph Waltz,Spectre,2015,59.06,Daniel Craig,47.65,11.41
Scaramanga · '74,Francisco Scaramanga,Christopher Lee,The Man with the Golden Gun,1974,52.57,Roger Moore,47.18,5.38
Goldfinger · '64,Auric Goldfinger,Gert Fröbe,Goldfinger,1964,51.56,Sean Connery,34.07,17.5
Elliot Carver · '97,Elliot Carver,Jonathan Pryce,Tomorrow Never Dies,1997,50.53,Pierce Brosnan,44.58,5.96
Hugo Drax · '79,Hugo Drax,Michael Lonsdale,Moonraker,1979,48.09,Roger Moore,51.7,-3.61
Blofeld · '69,Ernst Stavro Blofeld,Telly Savalas,On Her Majesty's Secret Service,1969,47.91,George Lazenby,30.29,17.62
Blofeld · '67,Ernst Stavro Blofeld,Donald Pleasence,You Only Live Twice,1967,47.69,Sean Connery,36.8,10.89
Kristatos · '81,Aristotle Kristatos,Julian Glover,For Your Eyes Only,1981,46.25,Roger Moore,53.7,-7.45
Dr. No · '62,Dr. No,Joseph Wiseman,Dr. No,1962,44.4,Sean Connery,32.12,12.28
Raoul Silva · '12,Raoul Silva,Javier Bardem,Skyfall,2012,43.66,Daniel Craig,44.65,-1.0
Emilio Largo · '65,Emilio Largo,Adolfo Celi,Thunderball,1965,43.43,Sean Connery,35.35,8.08
Blofeld · '71,Ernst Stavro Blofeld,Charles Gray,Diamonds Are Forever,1971,43.34,Sean Connery,41.35,1.99
Dominic Greene · '08,Dominic Greene,Mathieu Amalric,Quantum of Solace,2008,43.02,Daniel Craig,40.67,2.35
Koskov · '87,General Georgi Koskov,Jeroen Krabbé,The Living Daylights,1987,42.57,Timothy Dalton,41.28,1.29
Max Zorin · '85,Max Zorin,Christopher Walken,A View to a Kill,1985,42.2,Roger Moore,57.67,-15.46
Le Chiffre · '06,Le Chiffre,Mads Mikkelsen,Casino Royale,2006,40.98,Daniel Craig,38.71,2.28
Lyutsifer Safin · '21,Lyutsifer Safin,Rami Malek,No Time to Die,2021,40.39,Daniel Craig,53.58,-13.19
Franz Sanchez · '89,Franz Sanchez,Robert Davi,Licence to Kill,1989,37.97,Timothy Dalton,43.23,-5.26
Alec Trevelyan · '95,Alec Trevelyan / Janus,Sean Bean,GoldenEye,1995,36.61,Pierce Brosnan,42.53,-5.92
Kananga / Mr. Big · '73,Dr. Kananga / Mr. Big,Yaphet Kotto,Live and Let Die,1973,33.64,Roger Moore,45.73,-12.09
Graves / Moon · '02 · Stephens,Gustav Graves / Colonel Tan-Sun Moon,Toby Stephens,Die Another Day,2002,33.58,Pierce Brosnan,49.52,-15.93
Elektra King · '99,Elektra King,Sophie Marceau,The World Is Not Enough,1999,33.02,Pierce Brosnan,46.53,-13.51
Graves / Moon · '02 · Lee,Gustav Graves / Colonel Tan-Sun Moon,Will Yun Lee,Die Another Day,2002,31.67,Pierce Brosnan,49.52,-17.85
