rank,villain_name,title,year,bond_actor,imdb_rating,villain_label
1,Le Chiffre,Casino Royale,2006,Daniel Craig,8.0,Le Chiffre · Casino Royale
2,Raoul Silva,Skyfall,2012,Daniel Craig,7.8,Raoul Silva · Skyfall
3,Auric Goldfinger,Goldfinger,1964,Sean Connery,7.7,Auric Goldfinger · Goldfinger
4,Colonel Rosa Klebb,From Russia with Love,1963,Sean Connery,7.3,Colonel Rosa Klebb · From Russia with Love
5,Lyutsifer Safin,No Time to Die,2021,Daniel Craig,7.3,Lyutsifer Safin · No Time to Die
6,Dr. No,Dr. No,1962,Sean Connery,7.2,Dr. No · Dr. No
7,Alec Trevelyan / Janus,GoldenEye,1995,Pierce Brosnan,7.2,Alec Trevelyan / Janus · GoldenEye
8,Karl Stromberg,The Spy Who Loved Me,1977,Roger Moore,7.0,Karl Stromberg · The Spy Who Loved Me
9,Emilio Largo,Thunderball,1965,Sean Connery,6.9,Emilio Largo · Thunderball
10,Ernst Stavro Blofeld,You Only Live Twice,1967,Sean Connery,6.8,Ernst Stavro Blofeld · You Only Live Twice
11,Franz Oberhauser / Ernst Stavro Blofeld,Spectre,2015,Daniel Craig,6.8,Franz Oberhauser / Blofeld · Spectre
12,Ernst Stavro Blofeld,On Her Majesty's Secret Service,1969,George Lazenby,6.7,Ernst Stavro Blofeld · OHMSS
13,Dr. Kananga / Mr. Big,Live and Let Die,1973,Roger Moore,6.7,Dr. Kananga / Mr. Big · Live and Let Die
14,Francisco Scaramanga,The Man with the Golden Gun,1974,Roger Moore,6.7,Francisco Scaramanga · The Man with the Golden Gun
15,Aristotle Kristatos,For Your Eyes Only,1981,Roger Moore,6.7,Aristotle Kristatos · For Your Eyes Only
16,General Georgi Koskov,The Living Daylights,1987,Timothy Dalton,6.7,General Georgi Koskov · The Living Daylights
17,Franz Sanchez,Licence to Kill,1989,Timothy Dalton,6.7,Franz Sanchez · Licence to Kill
18,Ernst Stavro Blofeld,Diamonds Are Forever,1971,Sean Connery,6.5,Ernst Stavro Blofeld · Diamonds Are Forever
19,Kamal Khan,Octopussy,1983,Roger Moore,6.5,Kamal Khan · Octopussy
20,Elliot Carver,Tomorrow Never Dies,1997,Pierce Brosnan,6.5,Elliot Carver · Tomorrow Never Dies
21,Dominic Greene,Quantum of Solace,2008,Daniel Craig,6.5,Dominic Greene · Quantum of Solace
22,Elektra King,The World Is Not Enough,1999,Pierce Brosnan,6.4,Elektra King · The World Is Not Enough
23,Hugo Drax,Moonraker,1979,Roger Moore,6.3,Hugo Drax · Moonraker
24,Max Zorin,A View to a Kill,1985,Roger Moore,6.3,Max Zorin · A View to a Kill
25,Gustav Graves / Colonel Tan-Sun Moon,Die Another Day,2002,Pierce Brosnan,6.1,Graves / Colonel Moon · Die Another Day
