year,title,director,writer,producer,actor,notes,source
1977,I Never Promised You a Rose Garden,0,0,0,1,Uncredited,https://en.wikipedia.org/wiki/Mel_Gibson_filmography
1977,Summer City,0,0,0,1,,https://en.wikipedia.org/wiki/Mel_Gibson_filmography
1979,Mad Max,0,0,0,1,,https://en.wikipedia.org/wiki/Mel_Gibson_filmography
1979,Tim,0,0,0,1,,https://en.wikipedia.org/wiki/Mel_Gibson_filmography
1980,The Chain Reaction,0,0,0,1,Cameo,https://en.wikipedia.org/wiki/Mel_Gibson_filmography
1981,Attack Force Z,0,0,0,1,,https://en.wikipedia.org/wiki/Mel_Gibson_filmography
1981,Gallipoli,0,0,0,1,,https://en.wikipedia.org/wiki/Mel_Gibson_filmography
1981,Mad Max 2,0,0,0,1,,https://en.wikipedia.org/wiki/Mel_Gibson_filmography
1982,The Year of Living Dangerously,0,0,0,1,,https://en.wikipedia.org/wiki/Mel_Gibson_filmography
1984,The Bounty,0,0,0,1,,https://en.wikipedia.org/wiki/Mel_Gibson_filmography
1984,The River,0,0,0,1,,https://en.wikipedia.org/wiki/Mel_Gibson_filmography
1984,Mrs. Soffel,0,0,0,1,,https://en.wikipedia.org/wiki/Mel_Gibson_filmography
1985,Mad Max Beyond Thunderdome,0,0,0,1,,https://en.wikipedia.org/wiki/Mel_Gibson_filmography
1987,Lethal Weapon,0,0,0,1,,https://en.wikipedia.org/wiki/Mel_Gibson_filmography
1988,Tequila Sunrise,0,0,0,1,,https://en.wikipedia.org/wiki/Mel_Gibson_filmography
1989,Lethal Weapon 2,0,0,0,1,,https://en.wikipedia.org/wiki/Mel_Gibson_filmography
1990,Bird on a Wire,0,0,0,1,,https://en.wikipedia.org/wiki/Mel_Gibson_filmography
1990,Air America,0,0,0,1,,https://en.wikipedia.org/wiki/Mel_Gibson_filmography
1990,Hamlet,0,0,0,1,,https://en.wikipedia.org/wiki/Mel_Gibson_filmography
1992,Forever Young,0,0,1,1,Executive producer,https://en.wikipedia.org/wiki/Mel_Gibson_filmography
1992,Lethal Weapon 3,0,0,0,1,,https://en.wikipedia.org/wiki/Mel_Gibson_filmography
1993,The Man Without a Face,1,0,0,1,Directorial debut,https://en.wikipedia.org/wiki/Mel_Gibson_filmography
1994,Maverick,0,0,0,1,,https://en.wikipedia.org/wiki/Mel_Gibson_filmography
1995,Braveheart,1,0,1,1,,https://en.wikipedia.org/wiki/Mel_Gibson_filmography
1995,Casper,0,0,0,1,Cameo,https://en.wikipedia.org/wiki/Mel_Gibson_filmography
1995,Pocahontas,0,0,0,1,Voice role,https://en.wikipedia.org/wiki/Mel_Gibson_filmography
1996,Ransom,0,0,0,1,,https://en.wikipedia.org/wiki/Mel_Gibson_filmography
1997,Fathers' Day,0,0,0,1,Cameo,https://en.wikipedia.org/wiki/Mel_Gibson_filmography
1997,Conspiracy Theory,0,0,0,1,,https://en.wikipedia.org/wiki/Mel_Gibson_filmography
1997,FairyTale: A True Story,0,0,0,1,Cameo,https://en.wikipedia.org/wiki/Mel_Gibson_filmography
1997,One Eight Seven,0,0,1,0,Executive producer,https://en.wikipedia.org/wiki/Mel_Gibson_filmography
1998,Lethal Weapon 4,0,0,0,1,,https://en.wikipedia.org/wiki/Mel_Gibson_filmography
1999,Payback,0,0,0,1,,https://en.wikipedia.org/wiki/Mel_Gibson_filmography
2000,Chicken Run,0,0,0,1,Voice role,https://en.wikipedia.org/wiki/Mel_Gibson_filmography
2000,The Patriot,0,0,0,1,,https://en.wikipedia.org/wiki/Mel_Gibson_filmography
2000,What Women Want,0,0,0,1,,https://en.wikipedia.org/wiki/Mel_Gibson_filmography
2000,The Million Dollar Hotel,0,0,0,1,,https://en.wikipedia.org/wiki/Mel_Gibson_filmography
2002,We Were Soldiers,0,0,0,1,,https://en.wikipedia.org/wiki/Mel_Gibson_filmography
2002,Signs,0,0,0,1,,https://en.wikipedia.org/wiki/Mel_Gibson_filmography
2003,The Singing Detective,0,0,1,1,,https://en.wikipedia.org/wiki/Mel_Gibson_filmography
2004,The Passion of the Christ,1,1,1,0,,https://en.wikipedia.org/wiki/Mel_Gibson_filmography
2004,Paparazzi,0,0,1,1,Actor cameo,https://en.wikipedia.org/wiki/Mel_Gibson_filmography
2006,Apocalypto,1,1,1,0,,https://en.wikipedia.org/wiki/Mel_Gibson_filmography
2010,Edge of Darkness,0,0,0,1,,https://en.wikipedia.org/wiki/Mel_Gibson_filmography
2011,The Beaver,0,0,0,1,,https://en.wikipedia.org/wiki/Mel_Gibson_filmography
2012,Get the Gringo,0,1,1,1,,https://en.wikipedia.org/wiki/Mel_Gibson_filmography
2013,Machete Kills,0,0,0,1,,https://en.wikipedia.org/wiki/Mel_Gibson_filmography
2014,The Expendables 3,0,0,0,1,,https://en.wikipedia.org/wiki/Mel_Gibson_filmography
2014,Stonehearst Asylum,0,0,1,0,,https://en.wikipedia.org/wiki/Mel_Gibson_filmography
2016,Blood Father,0,0,0,1,,https://en.wikipedia.org/wiki/Mel_Gibson_filmography
2016,Hacksaw Ridge,1,0,0,0,,https://en.wikipedia.org/wiki/Mel_Gibson_filmography
2017,Daddy's Home 2,0,0,1,1,,https://en.wikipedia.org/wiki/Mel_Gibson_filmography
2018,Dragged Across Concrete,0,0,0,1,,https://en.wikipedia.org/wiki/Mel_Gibson_filmography
2019,The Professor and the Madman,0,0,1,1,,https://en.wikipedia.org/wiki/Mel_Gibson_filmography
2020,Force of Nature,0,0,0,1,,https://en.wikipedia.org/wiki/Mel_Gibson_filmography
2020,Fatman,0,0,0,1,,https://en.wikipedia.org/wiki/Mel_Gibson_filmography
2021,Boss Level,0,0,0,1,,https://en.wikipedia.org/wiki/Mel_Gibson_filmography
2021,Dangerous,0,0,0,1,,https://en.wikipedia.org/wiki/Mel_Gibson_filmography
2022,Last Looks,0,0,0,1,,https://en.wikipedia.org/wiki/Mel_Gibson_filmography
2022,Panama,0,0,0,1,,https://en.wikipedia.org/wiki/Mel_Gibson_filmography
2022,Agent Game,0,0,0,1,,https://en.wikipedia.org/wiki/Mel_Gibson_filmography
2022,Father Stu,0,0,0,1,,https://en.wikipedia.org/wiki/Mel_Gibson_filmography
2022,Hot Seat,0,0,0,1,,https://en.wikipedia.org/wiki/Mel_Gibson_filmography
2022,Bandit,0,0,0,1,,https://en.wikipedia.org/wiki/Mel_Gibson_filmography
2022,On the Line,0,0,1,1,Executive producer,https://en.wikipedia.org/wiki/Mel_Gibson_filmography
2023,Confidential Informant,0,0,0,1,,https://en.wikipedia.org/wiki/Mel_Gibson_filmography
2023,Sound of Freedom,0,0,1,0,Executive producer,https://en.wikipedia.org/wiki/Mel_Gibson_filmography
2023,Desperation Road,0,0,0,1,,https://en.wikipedia.org/wiki/Mel_Gibson_filmography
2024,Boneyard,0,0,0,1,,https://en.wikipedia.org/wiki/Mel_Gibson_filmography
2024,Monster Summer,0,0,0,1,,https://en.wikipedia.org/wiki/Mel_Gibson_filmography
2025,Flight Risk,1,0,1,0,,https://en.wikipedia.org/wiki/Mel_Gibson_filmography
2025,Hunting Season,0,0,0,1,,https://en.wikipedia.org/wiki/Mel_Gibson_filmography
