year,title,average_rating,num_votes,principal_order
1979,Mad Max,6.8,247217,1
1979,Tim,6.4,4093,2
1981,Attack Force Z,5.4,3212,2
1981,Gallipoli,7.4,45093,1
1981,The Road Warrior,7.6,215247,1
1982,The Year of Living Dangerously,7.1,25132,1
1984,Mrs. Soffel,6.1,3952,2
1984,The Bounty,7.1,35431,1
1984,The River,6.3,8453,1
1985,Mad Max: Beyond Thunderdome,6.2,163719,1
1987,Lethal Weapon,7.6,299010,1
1988,Tequila Sunrise,6.1,36680,1
1989,Lethal Weapon 2,7.3,203338,1
1990,Air America,5.8,32790,1
1990,Bird on a Wire,6,51400,1
1990,Hamlet,6.7,25258,1
1992,Forever Young,6.4,53197,1
1992,Lethal Weapon 3,6.7,190211,1
1993,The Man Without a Face,6.7,33190,1
1994,Maverick,7,126120,1
1995,Braveheart,8.3,1173077,1
1995,Pocahontas,6.7,220247,1
1996,Ransom,6.7,145459,1
1997,Conspiracy Theory,6.7,115486,1
1998,Lethal Weapon 4,6.6,181988,1
1999,Payback,7,155023,1
2000,Chicken Run,7.1,227052,1
2000,The Million Dollar Hotel,5.7,23361,3
2000,The Patriot,7.2,316757,1
2000,What Women Want,6.5,241025,1
2002,Signs,6.8,418956,1
2002,We Were Soldiers,7.2,161227,1
2003,The Singing Detective,5.4,9214,5
2010,Edge of Darkness,6.6,104242,1
2011,The Beaver,6.6,52453,1
2012,Get the Gringo,6.9,115272,1
2013,Machete Kills,5.6,86061,3
2014,The Expendables 3,6.1,207908,7
2016,Blood Father,6.4,71292,1
2017,Daddy's Home 2,6.1,94048,3
2018,Dragged Across Concrete,6.9,63190,1
2019,The Professor and the Madman,7.2,55642,1
2020,Boss Level,6.8,92020,2
2020,Fatman,5.9,35748,1
2020,Force of Nature,4.6,14617,2
2021,Dangerous,5.2,11644,5
2021,Last Looks,5.8,14653,2
2022,Agent Game,4.1,3821,8
2022,Bandit,6.5,18515,4
2022,Father Stu,6.5,36808,2
2022,Hot Seat,4.3,4647,1
2022,On the Line,5.5,18921,1
2022,Panama,3.6,4641,2
2023,Confidential Informant,3.7,3318,1
2023,Desperation Road,5.9,5969,5
2024,Boneyard,4.2,6628,1
2024,Monster Summer,5.7,8185,1
2025,Hunting Season,5.8,9236,1
