Year,Title,IMDb Rating,Votes,Partnership Group,Partnership Film
2004,Shaun of the Dead,7.8,645009,Edgar Wright,1
2006,Big Nothing,6.7,33278,Other eligible movies,0
2006,Free Jimmy,5.9,7118,Other eligible movies,0
2006,Mission: Impossible III,6.9,428983,Mission: Impossible,1
2007,Hot Fuzz,7.8,572979,Edgar Wright,1
2007,Run Fatboy Run,6.5,72034,Other eligible movies,0
2008,How to Lose Friends & Alienate People,6.4,72314,Other eligible movies,0
2009,Star Trek,7.9,641448,Star Trek,1
2010,Burke and Hare,6.1,22272,Other eligible movies,0
2011,Mission: Impossible - Ghost Protocol,7.4,569836,Mission: Impossible,1
2011,Paul,6.9,285449,Other eligible movies,0
2011,The Adventures of Tintin,7.3,257556,Other eligible movies,0
2012,A Fantastic Fear of Everything,5.8,15870,Other eligible movies,0
2013,Star Trek Into Darkness,7.7,512696,Star Trek,1
2013,The World's End,6.9,315223,Edgar Wright,1
2014,Hector and the Search for Happiness,6.9,53159,Other eligible movies,0
2014,Kill Me Three Times,5.8,24943,Other eligible movies,0
2015,Absolutely Anything,6.0,55502,Other eligible movies,0
2015,Man Up,6.8,59856,Other eligible movies,0
2015,Mission: Impossible - Rogue Nation,7.4,450195,Mission: Impossible,1
2016,Star Trek Beyond,7.0,272044,Star Trek,1
2018,Mission: Impossible - Fallout,7.7,424999,Mission: Impossible,1
2018,Ready Player One,7.4,551582,Other eligible movies,0
2018,Slaughterhouse Rulez,5.3,17384,Other eligible movies,0
2018,Terminal,5.4,27646,Other eligible movies,0
2019,Lost Transmissions,5.1,1365,Other eligible movies,0
2020,Inheritance,5.6,23885,Other eligible movies,0
2021,America: The Motion Picture,5.6,8176,Other eligible movies,0
2022,Luck,6.5,36380,Other eligible movies,0
2022,The Ice Age Adventures of Buck Wild,4.4,20635,Other eligible movies,0
2023,Mission: Impossible - Dead Reckoning Part One,7.6,333110,Mission: Impossible,1
2023,Nandor Fodor and the Talking Mongoose,5.5,3949,Other eligible movies,0
2025,Mission: Impossible - The Final Reckoning,7.1,241198,Mission: Impossible,1
