Film Number,Partnership,Title,Year,IMDb Rating,Principal Order
1,Mission: Impossible,Mission: Impossible III,2006,6.9,9
2,Mission: Impossible,Mission: Impossible - Ghost Protocol,2011,7.4,3
3,Mission: Impossible,Mission: Impossible - Rogue Nation,2015,7.4,4
4,Mission: Impossible,Mission: Impossible - Fallout,2018,7.7,4
5,Mission: Impossible,Mission: Impossible - Dead Reckoning Part One,2023,7.6,4
6,Mission: Impossible,Mission: Impossible - The Final Reckoning,2025,7.1,4
1,Star Trek,Star Trek,2009,7.9,3
2,Star Trek,Star Trek Into Darkness,2013,7.7,7
3,Star Trek,Star Trek Beyond,2016,7.0,5
1,Edgar Wright,Shaun of the Dead,2004,7.8,1
2,Edgar Wright,Hot Fuzz,2007,7.8,1
3,Edgar Wright,The World's End,2013,6.9,1
