tconst,title,title_type,category,year,rating,votes,reason
tt0111956,Faith in the Future,tvSeries,actor,1995,6.7,88,title_type:tvSeries | votes_below_1000
tt0123341,Asylum,tvMiniSeries,actor,1996,6.8,312,title_type:tvMiniSeries | votes_below_1000
tt0131184,Saturday Live,tvSeries,actor,1996,7.4,19,title_type:tvSeries | votes_below_1000
tt0144054,Is It Bill Bailey?,tvMiniSeries,actor,1998,7.7,317,title_type:tvMiniSeries | votes_below_1000
tt0178126,Big Train,tvSeries,actor,1998,7.9,4308,title_type:tvSeries
tt0187646,Hippies,tvSeries,actor,1999,7.0,500,title_type:tvSeries | votes_below_1000
tt0187664,Spaced,tvSeries,actor,1999,8.5,61100,title_type:tvSeries
tt0192631,Steve Coogan: The Man Who Thinks He's It,video,self,1998,,,principal_category:self
tt0192631,Steve Coogan: The Man Who Thinks He's It,video,self,1998,,,principal_category:self
tt0220879,Comedy Café,tvSeries,self,1999,,,principal_category:self
tt0283795,Six Pairs of Pants,tvSeries,actor,1995,6.4,35,title_type:tvSeries | votes_below_1000
tt0298337,Free Jimmy,movie,writer,2006,,,principal_category:writer
tt0300860,Stop! Kung Fu!,tvSeries,self,2001,,,principal_category:self
tt0330093,Paedogeddon,tvEpisode,actor,2001,9.3,945,title_type:tvEpisode | votes_below_1000
tt0348943,I Am Not an Animal,tvSeries,actor,2004,7.9,322,title_type:tvSeries | votes_below_1000
tt0359269,Final Demand,tvMovie,actor,2003,7.2,74,title_type:tvMovie | votes_below_1000
tt0365748,Shaun of the Dead,movie,writer,2004,,,principal_category:writer
tt0388655,We Know Where You Live,tvSeries,actor,1997,6.1,56,title_type:tvSeries | votes_below_1000
tt0406414,From Bard to Verse,tvSeries,self,2004,,,principal_category:self
tt0409589,Mondo Thingo,tvSeries,self,2004,,,principal_category:self
tt0415265,Sex & Lies,tvMovie,actor,2004,6.0,33,title_type:tvMovie | votes_below_1000
tt0425112,Hot Fuzz,movie,writer,2007,,,principal_category:writer
tt0425413,Run Fatboy Run,movie,writer,2007,,,principal_category:writer
tt0442655,The Big Fat Quiz of the Year,tvSpecial,self,2004,,,principal_category:self
tt0460946,Spider-Plant Man,tvShort,actor,2005,6.3,1871,title_type:tvShort
tt0462253,Derren Brown: The Gathering,tvSpecial,self,2005,,,principal_category:self
tt0462673,"Danger! 50,000 Zombies!",short,writer,2004,,,principal_category:writer
tt0462673,"Danger! 50,000 Zombies!",short,actor,2004,7.3,700,title_type:short | votes_below_1000
tt0471671,Edgar & Simon's Flip Chart,video,producer,2004,,,principal_category:producer
tt0471671,Edgar & Simon's Flip Chart,video,self,2004,,,principal_category:self
tt0471671,Edgar & Simon's Flip Chart,video,writer,2004,,,principal_category:writer
tt0471708,Fun Dead,video,writer,2004,,,principal_category:writer
tt0471709,Funky Pete,video,writer,2004,,,principal_category:writer
tt0471709,Funky Pete,video,actor,2004,7.1,555,title_type:video | votes_below_1000
tt0471747,I Am Not an Animal - I Am an Animation,video,self,2005,,,principal_category:self
tt0471792,Lucy's Cam,video,self,2004,,,principal_category:self
tt0471800,The Man Who Would Be Shaun,video,writer,2004,,,principal_category:writer
tt0471800,The Man Who Would Be Shaun,video,actor,2004,6.6,558,title_type:video | votes_below_1000
tt0471916,Shaun of the Dead: EPK Featurette,video,self,2004,,,principal_category:self
tt0471918,Simon's Cam,video,director,2004,,,principal_category:director
tt0471918,Simon's Cam,video,producer,2004,,,principal_category:producer
tt0471918,Simon's Cam,video,self,2004,,,principal_category:self
tt0471918,Simon's Cam,video,writer,2004,,,principal_category:writer
tt0472550,Plot Holes: How Did Ed Get from the Cellar to the Shed?,video,writer,2004,,,principal_category:writer
tt0472551,Plot Holes: What Happened to Dianne When She Left the Winchester?,video,writer,2004,,,principal_category:writer
tt0472552,Plot Holes: What Happened to Shaun When He Ran Off?,video,writer,2004,,,principal_category:writer
tt0472552,Plot Holes: What Happened to Shaun When He Ran Off?,video,actor,2004,6.8,176,title_type:video | votes_below_1000
tt0485315,Alan Partridge Presents: The Cream of British Comedy,video,actor,2005,6.9,161,title_type:video | votes_below_1000
tt0524317,Episode #1.1,tvEpisode,actor,1998,7.3,107,title_type:tvEpisode | votes_below_1000
tt0524318,Episode #1.2,tvEpisode,actor,1998,7.5,87,title_type:tvEpisode | votes_below_1000
tt0524319,Episode #1.3,tvEpisode,actor,1998,7.0,77,title_type:tvEpisode | votes_below_1000
tt0524320,Episode #1.5,tvEpisode,actor,1998,7.5,72,title_type:tvEpisode | votes_below_1000
tt0524321,Episode #2.2,tvEpisode,actor,2002,7.3,64,title_type:tvEpisode | votes_below_1000
tt0526552,Manny Come Home,tvEpisode,actor,2004,8.2,784,title_type:tvEpisode | votes_below_1000
tt0544709,Episode #1.13,tvEpisode,self,1999,,,principal_category:self
tt0544743,The Good Life,tvEpisode,self,2003,,,principal_category:self
tt0558134,Episode #2.1,tvEpisode,self,2005,,,principal_category:self
tt0562999,The Long Game,tvEpisode,actor,2005,7.0,9343,title_type:tvEpisode
tt0565564,Curse of the Blood of the Lizard of Doom,tvEpisode,actor,2001,6.7,48,title_type:tvEpisode | votes_below_1000
tt0575774,A Knight Out,tvEpisode,actor,1996,5.5,7,title_type:tvEpisode | votes_below_1000
tt0575776,Always on My Mind,tvEpisode,actor,1998,4.4,6,title_type:tvEpisode | votes_below_1000
tt0575777,Art Lovers,tvEpisode,actor,1996,4.2,7,title_type:tvEpisode | votes_below_1000
tt0575778,Body Language,tvEpisode,actor,1996,6.0,9,title_type:tvEpisode | votes_below_1000
tt0575780,Design Flaw,tvEpisode,actor,1996,5.2,7,title_type:tvEpisode | votes_below_1000
tt0575782,Goodbye to Love,tvEpisode,actor,1998,4.6,6,title_type:tvEpisode | votes_below_1000
tt0575783,Hearts and Flowers,tvEpisode,actor,1998,4.8,6,title_type:tvEpisode | votes_below_1000
tt0575784,Marks out of Ten,tvEpisode,actor,1996,4.8,6,title_type:tvEpisode | votes_below_1000
tt0575788,Prodigal Mother,tvEpisode,actor,1998,4.8,6,title_type:tvEpisode | votes_below_1000
tt0575789,Share Options,tvEpisode,actor,1998,4.1,10,title_type:tvEpisode | votes_below_1000
tt0575791,Stand by Me,tvEpisode,actor,1998,4.2,6,title_type:tvEpisode | votes_below_1000
