Year,Title,IMDb Rating,Votes,Top-billed Biography,Breakout
2014,Kingsman: The Secret Service,7.7,784718,0,1
2014,Testament of Youth,7.2,32119,0,0
2015,Eddie the Eagle,7.3,108633,1,0
2015,Legend,6.9,226964,0,0
2016,Sing,7.1,216976,0,0
2017,Kingsman: The Golden Circle,6.7,406182,0,0
2018,Billionaire Boys Club,5.6,16133,0,0
2018,Robin Hood,5.4,87593,0,0
2019,Rocketman,7.3,212139,1,0
2021,Sing 2,7.3,103700,0,0
2023,Tetris,7.4,110826,1,0
2024,Carry-On,6.5,198996,0,0
2025,She Rides Shotgun,6.5,15157,0,0
2026,Apex,6.1,109844,0,0
