Year,Title,IMDb Rating,Peak Run
1980,He Knows You're Alone,5.1,0
1984,Bachelor Party,6.3,0
1984,Splash,6.3,0
1985,The Man with One Red Shoe,5.7,0
1985,Volunteers,5.5,0
1986,Every Time We Say Goodbye,5.8,0
1986,Nothing in Common,5.9,0
1986,The Money Pit,6.4,0
1987,Dragnet,6.0,0
1988,Big,7.3,0
1988,Punchline,5.9,0
1989,The 'Burbs,6.8,0
1989,Turner & Hooch,6.2,0
1990,Joe Versus the Volcano,5.9,0
1990,The Bonfire of the Vanities,5.6,0
1992,A League of Their Own,7.4,1
1993,Philadelphia,7.7,1
1993,Sleepless in Seattle,6.8,1
1994,Forrest Gump,8.8,1
1995,Apollo 13,7.7,1
1995,Toy Story,8.3,1
1996,That Thing You Do!,7.0,1
1998,Saving Private Ryan,8.6,1
1998,You've Got Mail,6.7,1
1999,The Green Mile,8.6,1
1999,Toy Story 2,7.9,1
2000,Cast Away,7.8,1
2002,Catch Me If You Can,8.1,1
2002,Road to Perdition,7.6,1
2004,The Ladykillers,6.2,0
2004,The Polar Express,6.6,0
2004,The Terminal,7.4,0
2006,The Da Vinci Code,6.7,0
2007,Charlie Wilson's War,7.0,0
2008,The Great Buck Howard,6.4,0
2009,Angels & Demons,6.7,0
2010,Toy Story 3,8.3,0
2011,Extremely Loud & Incredibly Close,6.9,0
2011,Larry Crowne,6.1,0
2012,Cloud Atlas,7.3,0
2013,Captain Phillips,7.8,0
2013,Saving Mr. Banks,7.5,0
2015,Bridge of Spies,7.6,0
2015,Ithaca,5.5,0
2016,A Hologram for the King,6.1,0
2016,Inferno,6.2,0
2016,Sully,7.4,0
2017,The Circle,5.4,0
2017,The Post,7.2,0
2019,A Beautiful Day in the Neighborhood,7.2,0
2019,Toy Story 4,7.6,0
2020,Borat Subsequent Moviefilm,6.6,0
2020,Greyhound,7.0,0
2020,News of the World,6.8,0
2021,Finch,6.9,0
2022,A Man Called Otto,7.5,0
2022,Elvis,7.3,0
2022,Pinocchio,5.1,0
2023,Asteroid City,6.4,0
2024,Here,6.3,0
2026,Toy Story 5,7.4,0
