Country,Gasoline_USD_per_litre,Diesel_USD_per_litre,Diesel_minus_gasoline_USD_per_litre,Gasoline_rank,Diesel_rank,Gasoline_pct_change_y,Diesel_pct_change_y
Algeria,0.356,0.235,-0.121,6,4.0,0.0,0.0
Andorra,1.879,2.071,0.192,130,130.0,23.2,41.3
Argentina,1.468,1.652,0.184,93,105.0,18.0,24.1
Aruba,1.376,1.368,-0.008,71,68.0,16.1,27.8
Australia,1.352,1.853,0.501,68,114.0,20.4,55.1
Austria,1.986,2.287,0.301,138,146.0,12.1,26.0
Bahrain,0.671,0.583,-0.088,14,11.0,7.7,10.0
Bangladesh,1.141,0.937,-0.204,44,22.0,16.7,15.0
Barbados,1.853,1.565,-0.288,127,97.0,-1.1,-3.1
Belarus,0.941,0.941,0.0,26,23.0,2.7,2.7
Belgium,2.134,2.49,0.356,151,153.0,17.7,27.2
Benin,1.25,1.295,0.045,54,61.0,0.0,0.0
Bolivia,1.008,1.419,0.411,29,74.0,0.0,0.0
Brazil,1.351,1.482,0.131,67,88.0,7.5,23.2
Bulgaria,1.726,2.073,0.347,120,131.0,20.6,43.1
Burkina Faso,1.529,1.214,-0.315,102,46.0,0.0,0.0
Cambodia,1.483,1.421,-0.062,97,76.0,33.7,52.0
Cameroon,1.506,1.485,-0.021,98,89.0,0.0,0.0
Canada,1.436,1.545,0.109,85,96.0,23.5,26.9
Cape Verde,1.482,1.245,-0.237,96,50.0,15.2,13.1
Cayman Islands,1.585,1.672,0.087,108,106.0,10.3,23.2
Chile,1.716,1.605,-0.111,119,102.0,26.6,53.4
China,1.401,1.26,-0.141,80,55.0,28.0,30.6
Colombia,1.141,0.818,-0.323,42,19.0,-0.7,0.9
Costa Rica,1.39,1.243,-0.147,77,49.0,0.6,10.1
Croatia,2.02,2.337,0.317,142,150.0,17.9,33.1
Curacao,1.209,1.248,0.039,50,51.0,15.3,39.4
Cyprus,1.805,2.21,0.405,126,139.0,17.1,34.0
Czech Republic,1.992,2.2,0.208,139,138.0,24.5,38.4
Denmark,2.649,2.738,0.089,166,163.0,13.7,20.2
Ecuador,0.799,0.782,-0.017,18,18.0,9.6,9.7
Egypt,0.464,0.396,-0.068,8,7.0,14.3,17.1
El Salvador,1.206,1.136,-0.07,48,42.0,20.6,23.6
Estonia,2.114,2.312,0.198,149,148.0,20.1,36.0
Fiji,1.333,1.315,-0.018,62,65.0,14.9,32.6
Finland,2.368,2.669,0.301,158,162.0,9.3,20.5
France,2.322,2.635,0.313,157,161.0,19.1,36.0
Georgia,1.324,1.476,0.152,61,87.0,16.7,31.9
Germany,2.406,2.505,0.099,161,154.0,15.9,22.9
Ghana,1.425,1.455,0.03,83,82.0,16.8,27.5
Greece,2.378,2.285,-0.093,160,145.0,16.5,25.7
Grenada,1.384,1.384,0.0,74,72.0,25.9,37.5
Guatemala,1.385,1.46,0.075,75,83.0,32.7,51.3
Guyana,0.996,1.006,0.01,28,29.0,22.4,25.0
Honduras,1.348,1.367,0.019,65,67.0,30.7,56.5
Hong Kong,4.136,4.619,0.483,170,169.0,9.1,23.6
Hungary,1.921,1.985,0.064,135,121.0,6.4,7.0
Iceland,1.959,2.304,0.345,136,147.0,17.3,27.6
India,1.081,0.967,-0.114,37,25.0,-0.0,-0.0
Indonesia,0.723,0.853,0.13,17,21.0,2.8,7.5
Ireland,2.251,2.538,0.287,154,156.0,10.3,24.6
Israel,2.762,2.626,-0.136,168,159.0,16.4,16.5
Italy,2.065,2.471,0.406,146,152.0,5.7,22.9
Ivory Coast,1.475,1.214,-0.261,94,47.0,0.0,0.0
Jamaica,1.383,1.42,0.037,73,75.0,18.0,18.7
Japan,1.051,0.983,-0.068,33,26.0,8.3,9.6
Jordan,1.693,1.016,-0.677,116,31.0,15.9,11.6
Kenya,1.522,1.516,-0.006,100,93.0,10.9,18.2
Kuwait,0.341,0.373,0.032,5,6.0,0.0,0.0
Laos,1.775,2.17,0.395,123,135.0,35.8,149.7
Latvia,2.045,2.251,0.206,144,143.0,14.3,26.1
Lebanon,1.209,1.252,0.043,49,54.0,32.4,78.4
Lesotho,1.41,1.846,0.436,81,113.0,31.6,61.8
Liechtenstein,2.51,2.779,0.269,165,165.0,14.6,21.2
Lithuania,2.049,2.525,0.476,145,155.0,21.2,34.6
Luxembourg,2.021,2.058,0.037,143,128.0,16.0,19.7
Madagascar,1.184,1.126,-0.058,47,40.0,-3.9,-4.1
Malawi,3.841,3.85,0.009,169,168.0,34.4,35.2
Malaysia,1.017,1.511,0.494,30,91.0,58.3,99.7
Malta,1.573,1.421,-0.152,105,77.0,0.0,0.0
Mauritius,1.386,1.537,0.151,76,95.0,9.9,20.9
Mayotte,2.313,2.231,-0.082,156,140.0,18.7,35.7
Mexico,1.62,1.627,0.007,109,103.0,10.0,7.8
Moldova,1.687,1.742,0.055,114,111.0,22.6,45.6
Montenegro,1.797,1.984,0.187,125,120.0,10.1,27.1
Morocco,1.674,1.674,0.0,112,107.0,27.7,47.4
Mozambique,1.308,1.25,-0.058,59,52.0,0.0,0.0
Namibia,1.336,1.43,0.094,64,80.0,12.8,20.4
Nepal,1.465,1.585,0.12,89,100.0,39.5,66.9
Netherlands,2.715,2.883,0.168,167,166.0,13.3,34.4
New Zealand,2.136,2.248,0.112,152,142.0,36.5,105.0
Nicaragua,1.335,1.178,-0.157,63,45.0,0.0,0.0
Norway,2.29,2.421,0.131,155,151.0,-0.2,19.7
Oman,0.622,0.671,0.049,11,15.0,0.0,0.0
Pakistan,1.314,1.267,-0.047,60,57.0,42.0,28.2
Panama,1.232,1.369,0.137,53,70.0,35.9,64.4
Paraguay,1.084,1.172,0.088,38,44.0,21.1,19.2
Peru,1.708,1.893,0.185,117,116.0,42.8,64.5
Philippines,1.465,2.051,0.586,90,126.0,57.6,118.4
Poland,1.69,2.085,0.395,115,132.0,6.3,26.7
Portugal,2.226,2.313,0.087,153,149.0,12.5,23.1
Puerto Rico,1.213,1.288,0.075,51,60.0,31.3,48.4
Qatar,0.562,0.562,0.0,9,10.0,10.8,7.9
Romania,1.878,1.979,0.101,129,119.0,2.7,4.2
Russia,0.813,0.942,0.129,19,24.0,-8.3,-8.2
Rwanda,2.012,1.51,-0.502,140,90.0,47.7,16.1
Saint Lucia,1.302,1.302,0.0,58,62.0,0.0,0.0
Saudi Arabia,0.621,0.477,-0.144,10,9.0,0.0,0.0
Serbia,1.91,2.17,0.26,133,136.0,6.7,9.6
Sierra Leone,1.779,2.033,0.254,124,123.0,22.8,40.4
Singapore,2.421,3.268,0.847,162,167.0,12.7,64.7
Slovakia,1.96,2.055,0.095,137,127.0,13.2,19.3
Slovenia,1.885,2.038,0.153,132,124.0,11.8,18.5
South Africa,1.391,1.736,0.345,78,110.0,16.5,38.1
South Korea,1.517,1.513,-0.004,99,92.0,18.2,25.4
Spain,1.763,2.041,0.278,122,125.0,2.1,22.1
Sri Lanka,1.438,1.4,-0.038,86,73.0,33.8,37.2
Suriname,1.289,1.422,0.133,56,78.0,13.4,18.0
Sweden,2.013,2.269,0.256,141,144.0,18.2,20.2
Switzerland,2.424,2.769,0.345,163,164.0,12.8,20.2
Taiwan,1.076,0.984,-0.092,36,27.0,18.1,16.5
Tanzania,1.467,1.462,-0.005,91,84.0,37.0,40.9
Thailand,1.646,1.265,-0.381,110,56.0,28.1,35.1
Tunisia,0.881,0.769,-0.112,20,17.0,0.0,0.0
Turkey,1.397,1.595,0.198,79,101.0,9.7,18.7
USA,1.159,1.427,0.268,46,79.0,33.2,41.8
Ukraine,1.684,2.026,0.342,113,122.0,16.0,38.7
United Kingdom,2.128,2.582,0.454,150,157.0,19.7,35.2
Uruguay,2.072,1.275,-0.797,147,58.0,5.8,3.5
Vietnam,0.902,1.068,0.166,24,36.0,20.3,50.4
Zambia,1.427,1.566,0.139,84,98.0,-2.6,21.6
Zimbabwe,2.08,2.09,0.01,148,133.0,33.3,37.5
