date,month,type,pct
2020-01-01,January 2020,Human,0.9784
2020-01-01,January 2020,AI,0.0216
2020-02-01,February 2020,Human,0.9773
2020-02-01,February 2020,AI,0.0227
2020-03-01,March 2020,Human,0.9799
2020-03-01,March 2020,AI,0.0202
2020-04-01,April 2020,Human,0.9744
2020-04-01,April 2020,AI,0.0257
2020-05-01,May 2020,Human,0.9792
2020-05-01,May 2020,AI,0.0208
2020-06-01,June 2020,Human,0.9806
2020-06-01,June 2020,AI,0.0195
2020-07-01,July 2020,Human,0.9772
2020-07-01,July 2020,AI,0.0228
2020-08-01,August 2020,Human,0.9757
2020-08-01,August 2020,AI,0.0244
2020-09-01,September 2020,Human,0.9684
2020-09-01,September 2020,AI,0.0316
2020-10-01,October 2020,Human,0.9688
2020-10-01,October 2020,AI,0.0312
2020-11-01,November 2020,Human,0.9700
2020-11-01,November 2020,AI,0.0300
2020-12-01,December 2020,Human,0.9726
2020-12-01,December 2020,AI,0.0274
2021-01-01,January 2021,Human,0.9804
2021-01-01,January 2021,AI,0.0196
2021-02-01,February 2021,Human,0.9701
2021-02-01,February 2021,AI,0.0299
2021-03-01,March 2021,Human,0.9708
2021-03-01,March 2021,AI,0.0293
2021-04-01,April 2021,Human,0.9665
2021-04-01,April 2021,AI,0.0336
2021-05-01,May 2021,Human,0.9717
2021-05-01,May 2021,AI,0.0282
2021-06-01,June 2021,Human,0.9605
2021-06-01,June 2021,AI,0.0395
2021-07-01,July 2021,Human,0.9697
2021-07-01,July 2021,AI,0.0303
2021-08-01,August 2021,Human,0.9568
2021-08-01,August 2021,AI,0.0431
2021-09-01,September 2021,Human,0.9843
2021-09-01,September 2021,AI,0.0157
2021-10-01,October 2021,Human,0.9520
2021-10-01,October 2021,AI,0.0480
2021-11-01,November 2021,Human,0.9862
2021-11-01,November 2021,AI,0.0139
2021-12-01,December 2021,Human,0.9643
2021-12-01,December 2021,AI,0.0357
2022-01-01,January 2022,Human,0.9496
2022-01-01,January 2022,AI,0.0504
2022-02-01,February 2022,Human,0.9343
2022-02-01,February 2022,AI,0.0657
2022-03-01,March 2022,Human,0.9494
2022-03-01,March 2022,AI,0.0505
2022-04-01,April 2022,Human,0.9511
2022-04-01,April 2022,AI,0.0488
2022-05-01,May 2022,Human,0.9517
2022-05-01,May 2022,AI,0.0483
2022-06-01,June 2022,Human,0.9384
2022-06-01,June 2022,AI,0.0616
2022-07-01,July 2022,Human,0.9442
2022-07-01,July 2022,AI,0.0558
2022-08-01,August 2022,Human,0.9281
2022-08-01,August 2022,AI,0.0719
2022-09-01,September 2022,Human,0.9040
2022-09-01,September 2022,AI,0.0960
2022-10-01,October 2022,Human,0.9193
2022-10-01,October 2022,AI,0.0806
2022-11-01,November 2022,Human,0.9225
2022-11-01,November 2022,AI,0.0775
2022-12-01,December 2022,Human,0.8899
2022-12-01,December 2022,AI,0.1101
2023-01-01,January 2023,Human,0.8397
2023-01-01,January 2023,AI,0.1603
2023-02-01,February 2023,Human,0.8371
2023-02-01,February 2023,AI,0.1628
2023-03-01,March 2023,Human,0.7927
2023-03-01,March 2023,AI,0.2073
2023-04-01,April 2023,Human,0.7449
2023-04-01,April 2023,AI,0.2551
2023-05-01,May 2023,Human,0.6958
2023-05-01,May 2023,AI,0.3042
2023-06-01,June 2023,Human,0.6717
2023-06-01,June 2023,AI,0.3282
2023-07-01,July 2023,Human,0.6079
2023-07-01,July 2023,AI,0.3921
2023-08-01,August 2023,Human,0.6099
2023-08-01,August 2023,AI,0.3901
2023-09-01,September 2023,Human,0.6411
2023-09-01,September 2023,AI,0.3588
2023-10-01,October 2023,Human,0.6015
2023-10-01,October 2023,AI,0.3986
2023-11-01,November 2023,Human,0.6101
2023-11-01,November 2023,AI,0.3899
2023-12-01,December 2023,Human,0.5538
2023-12-01,December 2023,AI,0.4462
2024-01-01,January 2024,Human,0.5464
2024-01-01,January 2024,AI,0.4535
2024-02-01,February 2024,Human,0.5890
2024-02-01,February 2024,AI,0.4109
2024-03-01,March 2024,Human,0.5475
2024-03-01,March 2024,AI,0.4525
2024-04-01,April 2024,Human,0.5900
2024-04-01,April 2024,AI,0.4100
2024-05-01,May 2024,Human,0.5726
2024-05-01,May 2024,AI,0.4274
2024-06-01,June 2024,Human,0.5814
2024-06-01,June 2024,AI,0.4186
2024-07-01,July 2024,Human,0.5546
2024-07-01,July 2024,AI,0.4454
2024-08-01,August 2024,Human,0.5239
2024-08-01,August 2024,AI,0.4761
2024-09-01,September 2024,Human,0.5258
2024-09-01,September 2024,AI,0.4742
2024-10-01,October 2024,Human,0.5144
2024-10-01,October 2024,AI,0.4855
2024-11-01,November 2024,Human,0.4892
2024-11-01,November 2024,AI,0.5108
2024-12-01,December 2024,Human,0.4549
2024-12-01,December 2024,AI,0.5452
2025-01-01,January 2025,Human,0.4490
2025-01-01,January 2025,AI,0.5510
2025-02-01,February 2025,Human,0.4855
2025-02-01,February 2025,AI,0.5144
2025-03-01,March 2025,Human,0.4872
2025-03-01,March 2025,AI,0.5129
2025-04-01,April 2025,Human,0.5266
2025-04-01,April 2025,AI,0.4734
2025-05-01,May 2025,Human,0.4828
2025-05-01,May 2025,AI,0.5172
