film_no,title,year,uk_release_date,bond_actor,bond_actor_birth_date,bond_age_at_release,villain_name,villain_actor,villain_actor_birth_date,villain_age_at_release,age_gap_years,villain_relative_to_bond,include_in_age_story,analysis_exclusion_reason,imdb_rating,imdb_votes_approx,release_date_source_url,bond_actor_source_url,villain_actor_source_url
1,Dr. No,1962,1962-10-06,Sean Connery,1930-08-25,32.12,Dr. No,Joseph Wiseman,1918-05-15,44.4,12.28,Older,True,,7.2,198000,https://007underthemangotree.wordpress.com/2013/04/29/james-bond-release-dates-uk-usa-and-sweden/,https://en.wikipedia.org/wiki/Sean_Connery,https://en.wikipedia.org/wiki/Joseph_Wiseman
2,From Russia with Love,1963,1963-10-11,Sean Connery,1930-08-25,33.13,Colonel Rosa Klebb,Lotte Lenya,1898-10-18,64.98,31.85,Older,True,,7.3,161000,https://007underthemangotree.wordpress.com/2013/04/29/james-bond-release-dates-uk-usa-and-sweden/,https://en.wikipedia.org/wiki/Sean_Connery,https://en.wikipedia.org/wiki/Lotte_Lenya
3,Goldfinger,1964,1964-09-18,Sean Connery,1930-08-25,34.07,Auric Goldfinger,Gert Fröbe,1913-02-25,51.56,17.5,Older,True,,7.7,220000,https://007underthemangotree.wordpress.com/2013/04/29/james-bond-release-dates-uk-usa-and-sweden/,https://en.wikipedia.org/wiki/Sean_Connery,https://en.wikipedia.org/wiki/Gert_Fr%C3%B6be
4,Thunderball,1965,1965-12-29,Sean Connery,1930-08-25,35.35,Emilio Largo,Adolfo Celi,1922-07-27,43.43,8.08,Older,True,,6.9,139000,https://007underthemangotree.wordpress.com/2013/04/29/james-bond-release-dates-uk-usa-and-sweden/,https://en.wikipedia.org/wiki/Sean_Connery,https://en.wikipedia.org/wiki/Adolfo_Celi
5,You Only Live Twice,1967,1967-06-13,Sean Connery,1930-08-25,36.8,Ernst Stavro Blofeld,Donald Pleasence,1919-10-05,47.69,10.89,Older,True,,6.8,129000,https://007underthemangotree.wordpress.com/2013/04/29/james-bond-release-dates-uk-usa-and-sweden/,https://en.wikipedia.org/wiki/Sean_Connery,https://en.wikipedia.org/wiki/Donald_Pleasence
6,On Her Majesty's Secret Service,1969,1969-12-18,George Lazenby,1939-09-05,30.29,Ernst Stavro Blofeld,Telly Savalas,1922-01-21,47.91,17.62,Older,True,,6.7,110000,https://007underthemangotree.wordpress.com/2013/04/29/james-bond-release-dates-uk-usa-and-sweden/,https://en.wikipedia.org/wiki/George_Lazenby,https://en.wikipedia.org/wiki/Telly_Savalas
7,Diamonds Are Forever,1971,1971-12-30,Sean Connery,1930-08-25,41.35,Ernst Stavro Blofeld,Charles Gray,1928-08-29,43.34,1.99,Older,True,,6.5,124000,https://007underthemangotree.wordpress.com/2013/04/29/james-bond-release-dates-uk-usa-and-sweden/,https://en.wikipedia.org/wiki/Sean_Connery,https://en.wikipedia.org/wiki/Charles_Gray_(actor)
8,Live and Let Die,1973,1973-07-06,Roger Moore,1927-10-14,45.73,Dr. Kananga / Mr. Big,Yaphet Kotto,1939-11-15,33.64,-12.09,Younger,True,,6.7,126000,https://007underthemangotree.wordpress.com/2013/04/29/james-bond-release-dates-uk-usa-and-sweden/,https://en.wikipedia.org/wiki/Roger_Moore,https://en.wikipedia.org/wiki/Yaphet_Kotto
9,The Man with the Golden Gun,1974,1974-12-19,Roger Moore,1927-10-14,47.18,Francisco Scaramanga,Christopher Lee,1922-05-27,52.57,5.38,Older,True,,6.7,123000,https://007underthemangotree.wordpress.com/2013/04/29/james-bond-release-dates-uk-usa-and-sweden/,https://en.wikipedia.org/wiki/Roger_Moore,https://en.wikipedia.org/wiki/Christopher_Lee
10,The Spy Who Loved Me,1977,1977-07-20,Roger Moore,1927-10-14,49.77,Karl Stromberg,Curd Jürgens,1915-12-13,61.6,11.84,Older,True,,7.0,126000,https://007underthemangotree.wordpress.com/2013/04/29/james-bond-release-dates-uk-usa-and-sweden/,https://en.wikipedia.org/wiki/Roger_Moore,https://en.wikipedia.org/wiki/Curd_J%C3%BCrgens
11,Moonraker,1979,1979-06-28,Roger Moore,1927-10-14,51.71,Hugo Drax,Michael Lonsdale,1931-05-24,48.1,-3.61,Younger,True,,6.3,119000,https://007underthemangotree.wordpress.com/2013/04/29/james-bond-release-dates-uk-usa-and-sweden/,https://en.wikipedia.org/wiki/Roger_Moore,https://en.wikipedia.org/wiki/Michael_Lonsdale
12,For Your Eyes Only,1981,1981-06-24,Roger Moore,1927-10-14,53.7,Aristotle Kristatos,Julian Glover,1935-03-27,46.25,-7.45,Younger,True,,6.7,118000,https://007underthemangotree.wordpress.com/2013/04/29/james-bond-release-dates-uk-usa-and-sweden/,https://en.wikipedia.org/wiki/Roger_Moore,https://en.wikipedia.org/wiki/Julian_Glover
13,Octopussy,1983,1983-06-06,Roger Moore,1927-10-14,55.65,Kamal Khan,Louis Jourdan,1921-06-19,61.96,6.32,Older,True,,6.5,121000,https://007underthemangotree.wordpress.com/2013/04/29/james-bond-release-dates-uk-usa-and-sweden/,https://en.wikipedia.org/wiki/Roger_Moore,https://en.wikipedia.org/wiki/Louis_Jourdan
14,A View to a Kill,1985,1985-06-13,Roger Moore,1927-10-14,57.67,Max Zorin,Christopher Walken,1943-03-31,42.2,-15.46,Younger,True,,6.3,114000,https://007underthemangotree.wordpress.com/2013/04/29/james-bond-release-dates-uk-usa-and-sweden/,https://en.wikipedia.org/wiki/Roger_Moore,https://en.wikipedia.org/wiki/Christopher_Walken
15,The Living Daylights,1987,1987-06-30,Timothy Dalton,1946-03-21,41.28,General Georgi Koskov,Jeroen Krabbé,1944-12-05,42.57,1.29,Older,True,,6.7,116000,https://007underthemangotree.wordpress.com/2013/04/29/james-bond-release-dates-uk-usa-and-sweden/,https://en.wikipedia.org/wiki/Timothy_Dalton,https://en.wikipedia.org/wiki/Jeroen_Krabb%C3%A9
16,Licence to Kill,1989,1989-06-13,Timothy Dalton,1946-03-21,43.23,Franz Sanchez,Robert Davi,1951-06-26,37.97,-5.26,Younger,True,,6.7,122000,https://007underthemangotree.wordpress.com/2013/04/29/james-bond-release-dates-uk-usa-and-sweden/,https://en.wikipedia.org/wiki/Timothy_Dalton,https://en.wikipedia.org/wiki/Robert_Davi
17,GoldenEye,1995,1995-11-24,Pierce Brosnan,1953-05-16,42.53,Alec Trevelyan / Janus,Sean Bean,1959-04-17,36.61,-5.92,Younger,True,,7.2,289000,https://007underthemangotree.wordpress.com/2013/04/29/james-bond-release-dates-uk-usa-and-sweden/,https://en.wikipedia.org/wiki/Pierce_Brosnan,https://en.wikipedia.org/wiki/Sean_Bean
18,Tomorrow Never Dies,1997,1997-12-12,Pierce Brosnan,1953-05-16,44.58,Elliot Carver,Jonathan Pryce,1947-06-01,50.53,5.96,Older,True,,6.5,218000,https://007underthemangotree.wordpress.com/2013/04/29/james-bond-release-dates-uk-usa-and-sweden/,https://en.wikipedia.org/wiki/Pierce_Brosnan,https://en.wikipedia.org/wiki/Jonathan_Pryce
19,The World Is Not Enough,1999,1999-11-26,Pierce Brosnan,1953-05-16,46.53,Elektra King,Sophie Marceau,1966-11-17,33.02,-13.51,Younger,True,,6.4,222000,https://007underthemangotree.wordpress.com/2013/04/29/james-bond-release-dates-uk-usa-and-sweden/,https://en.wikipedia.org/wiki/Pierce_Brosnan,https://en.wikipedia.org/wiki/Sophie_Marceau
21,Casino Royale,2006,2006-11-16,Daniel Craig,1968-03-02,38.71,Le Chiffre,Mads Mikkelsen,1965-11-22,40.98,2.28,Older,True,,8.0,754000,https://007underthemangotree.wordpress.com/2013/04/29/james-bond-release-dates-uk-usa-and-sweden/,https://en.wikipedia.org/wiki/Daniel_Craig,https://en.wikipedia.org/wiki/Mads_Mikkelsen
22,Quantum of Solace,2008,2008-10-31,Daniel Craig,1968-03-02,40.67,Dominic Greene,Mathieu Amalric,1965-10-25,43.02,2.35,Older,True,,6.5,503000,https://007underthemangotree.wordpress.com/2013/04/29/james-bond-release-dates-uk-usa-and-sweden/,https://en.wikipedia.org/wiki/Daniel_Craig,https://en.wikipedia.org/wiki/Mathieu_Amalric
23,Skyfall,2012,2012-10-26,Daniel Craig,1968-03-02,44.65,Raoul Silva,Javier Bardem,1969-03-01,43.66,-1.0,Younger,True,,7.8,779000,https://007underthemangotree.wordpress.com/2013/04/29/james-bond-release-dates-uk-usa-and-sweden/,https://en.wikipedia.org/wiki/Daniel_Craig,https://en.wikipedia.org/wiki/Javier_Bardem
24,Spectre,2015,2015-10-26,Daniel Craig,1968-03-02,47.65,Franz Oberhauser / Ernst Stavro Blofeld,Christoph Waltz,1956-10-04,59.06,11.41,Older,True,,6.8,501000,https://007underthemangotree.wordpress.com/2013/04/29/james-bond-release-dates-uk-usa-and-sweden/,https://en.wikipedia.org/wiki/Daniel_Craig,https://en.wikipedia.org/wiki/Christoph_Waltz
25,No Time to Die,2021,2021-09-30,Daniel Craig,1968-03-02,53.58,Lyutsifer Safin,Rami Malek,1981-05-12,40.39,-13.19,Younger,True,,7.3,494000,https://en.wikipedia.org/wiki/No_Time_to_Die,https://en.wikipedia.org/wiki/Daniel_Craig,https://en.wikipedia.org/wiki/Rami_Malek
