rank,villain_name,villain_actor,title,year,bond_actor,imdb_rating,imdb_votes_approx,imdb_id,imdb_source_url
1,Le Chiffre,Mads Mikkelsen,Casino Royale,2006,Daniel Craig,8.0,754000,tt0381061,https://www.imdb.com/title/tt0381061/
2,Raoul Silva,Javier Bardem,Skyfall,2012,Daniel Craig,7.8,779000,tt1074638,https://www.imdb.com/title/tt1074638/
3,Auric Goldfinger,Gert Fröbe,Goldfinger,1964,Sean Connery,7.7,220000,tt0058150,https://www.imdb.com/title/tt0058150/
4,Colonel Rosa Klebb,Lotte Lenya,From Russia with Love,1963,Sean Connery,7.3,161000,tt0057076,https://www.imdb.com/title/tt0057076/
5,Lyutsifer Safin,Rami Malek,No Time to Die,2021,Daniel Craig,7.3,494000,tt2382320,https://www.imdb.com/title/tt2382320/
6,Dr. No,Joseph Wiseman,Dr. No,1962,Sean Connery,7.2,198000,tt0055928,https://www.imdb.com/title/tt0055928/
7,Alec Trevelyan / Janus,Sean Bean,GoldenEye,1995,Pierce Brosnan,7.2,289000,tt0113189,https://www.imdb.com/title/tt0113189/
8,Karl Stromberg,Curd Jürgens,The Spy Who Loved Me,1977,Roger Moore,7.0,126000,tt0076752,https://www.imdb.com/title/tt0076752/
9,Emilio Largo,Adolfo Celi,Thunderball,1965,Sean Connery,6.9,139000,tt0059800,https://www.imdb.com/title/tt0059800/
10,Ernst Stavro Blofeld,Donald Pleasence,You Only Live Twice,1967,Sean Connery,6.8,129000,tt0062512,https://www.imdb.com/title/tt0062512/
11,Franz Oberhauser / Ernst Stavro Blofeld,Christoph Waltz,Spectre,2015,Daniel Craig,6.8,501000,tt2379713,https://www.imdb.com/title/tt2379713/
12,Ernst Stavro Blofeld,Telly Savalas,On Her Majesty's Secret Service,1969,George Lazenby,6.7,110000,tt0064757,https://www.imdb.com/title/tt0064757/
13,Dr. Kananga / Mr. Big,Yaphet Kotto,Live and Let Die,1973,Roger Moore,6.7,126000,tt0070328,https://www.imdb.com/title/tt0070328/
14,Francisco Scaramanga,Christopher Lee,The Man with the Golden Gun,1974,Roger Moore,6.7,123000,tt0071807,https://www.imdb.com/title/tt0071807/
15,Aristotle Kristatos,Julian Glover,For Your Eyes Only,1981,Roger Moore,6.7,118000,tt0082398,https://www.imdb.com/title/tt0082398/
16,General Georgi Koskov,Jeroen Krabbé,The Living Daylights,1987,Timothy Dalton,6.7,116000,tt0093428,https://www.imdb.com/title/tt0093428/
17,Franz Sanchez,Robert Davi,Licence to Kill,1989,Timothy Dalton,6.7,122000,tt0097742,https://www.imdb.com/title/tt0097742/
18,Ernst Stavro Blofeld,Charles Gray,Diamonds Are Forever,1971,Sean Connery,6.5,124000,tt0066995,https://www.imdb.com/title/tt0066995/
19,Kamal Khan,Louis Jourdan,Octopussy,1983,Roger Moore,6.5,121000,tt0086034,https://www.imdb.com/title/tt0086034/
20,Elliot Carver,Jonathan Pryce,Tomorrow Never Dies,1997,Pierce Brosnan,6.5,218000,tt0120347,https://www.imdb.com/title/tt0120347/
21,Dominic Greene,Mathieu Amalric,Quantum of Solace,2008,Daniel Craig,6.5,503000,tt0830515,https://www.imdb.com/title/tt0830515/
22,Elektra King,Sophie Marceau,The World Is Not Enough,1999,Pierce Brosnan,6.4,222000,tt0143145,https://www.imdb.com/title/tt0143145/
23,Hugo Drax,Michael Lonsdale,Moonraker,1979,Roger Moore,6.3,119000,tt0079574,https://www.imdb.com/title/tt0079574/
24,Max Zorin,Christopher Walken,A View to a Kill,1985,Roger Moore,6.3,114000,tt0090264,https://www.imdb.com/title/tt0090264/
25,Gustav Graves / Colonel Tan-Sun Moon,Toby Stephens / Will Yun Lee,Die Another Day,2002,Pierce Brosnan,6.1,242000,tt0246460,https://www.imdb.com/title/tt0246460/
