Entity,Code,Year,Rape or colza seed - Production (tonnes),production_1974_tonnes,pct_difference_from_1974,pct_change_yoy
Austria,AUT,1974,4679.0,4679.0,0.0,
Austria,AUT,1975,4958.0,4679.0,5.962812566787775,5.962812566787767
Austria,AUT,1976,4403.0,4679.0,-5.898696302628767,-11.194029850746269
Austria,AUT,1977,4867.0,4679.0,4.017952553964522,10.53826936179878
Austria,AUT,1978,6275.0,4679.0,34.109852532592434,28.929525374974308
Austria,AUT,1979,3011.0,4679.0,-35.64864287240864,-52.01593625498008
Austria,AUT,1980,8361.0,4679.0,78.69202821115623,177.68183327798073
Austria,AUT,1981,9876.0,4679.0,111.07074161145545,18.119842124147837
Austria,AUT,1982,9003.0,4679.0,92.41290874118404,-8.839611178614826
Austria,AUT,1983,11869.0,4679.0,153.66531310108996,31.83383316672221
Austria,AUT,1984,12338.0,4679.0,163.6888223979483,3.9514702165304616
Austria,AUT,1985,17289.0,4679.0,269.502030348365,40.128059653104216
Austria,AUT,1986,20840.0,4679.0,345.3943150245779,20.5390710856614
Austria,AUT,1987,57673.0,4679.0,1132.5924342808294,176.74184261036467
Austria,AUT,1988,81334.0,4679.0,1638.277409702928,41.02613007819951
Austria,AUT,1989,86743.0,4679.0,1753.8790339816198,6.650355324956347
Austria,AUT,1990,101527.0,4679.0,2069.843983757213,17.04345019194633
Austria,AUT,1991,132875.0,4679.0,2739.816200042744,30.87651560668592
Austria,AUT,1992,132352.0,4679.0,2728.638597991024,-0.3936030103480759
Austria,AUT,1993,131396.0,4679.0,2708.206881812353,-0.7223162475821998
Austria,AUT,1994,217069.0,4679.0,4539.21778157726,65.2021370513562
Austria,AUT,1995,267596.0,4679.0,5619.085274631332,23.276930376976917
Austria,AUT,1996,120757.0,4679.0,2480.8292370164563,-54.87339123155802
Austria,AUT,1997,129084.0,4679.0,2658.794614233811,6.8956665038051534
Austria,AUT,1998,128374.0,4679.0,2643.6204317161787,-0.5500294381952875
Austria,AUT,1999,194265.0,4679.0,4051.848685616585,51.32737158614673
Austria,AUT,2000,125353.0,4679.0,2579.0553537080573,-35.47319383316604
Austria,AUT,2001,146525.0,4679.0,3031.545201966232,16.889902914170385
Austria,AUT,2002,128647.0,4679.0,2649.4550117546487,-12.201330830916223
Austria,AUT,2003,77720.0,4679.0,1561.038683479376,-39.58662075291301
Austria,AUT,2004,120815.0,4679.0,2482.068818123531,55.44904786412764
