Distillery,Region,Approachable_Index,Peat_Index,Sweetness,Fruity,Honey,Smoky,Medicinal
Aberlour,Speyside,10,1,3,3,4,1,0
Benriach,Speyside,7,1,2,3,2,1,0
Benrinnes,Speyside,7,2,2,2,3,2,0
Cardhu,Speyside,6,1,3,2,1,1,0
Craigallechie,Speyside,5,2,2,1,2,2,0
Craigganmore,Speyside,5,3,3,2,0,2,1
Dufftown,Speyside,5,2,3,2,0,1,1
GlenElgin,Speyside,7,1,3,2,2,1,0
Glenfarclas,Speyside,7,1,4,2,1,1,0
Glenfiddich,Speyside,5,1,3,2,0,1,0
Glenlivet,Speyside,7,1,3,2,2,1,0
Glenlossie,Speyside,5,1,2,2,1,1,0
Glenrothes,Speyside,6,1,3,2,1,1,0
Linkwood,Speyside,7,1,3,3,1,1,0
Longmorn,Speyside,5,1,2,2,1,1,0
Macallan,Speyside,8,1,3,3,2,1,0
Mortlach,Speyside,6,2,2,2,2,2,0
Speyburn,Speyside,7,1,4,1,2,1,0
Strathisla,Speyside,7,1,2,3,2,1,0
Tamdhu,Speyside,6,1,2,2,2,1,0
Tomintoul,Speyside,6,1,3,1,2,1,0
