Distillery,Region,Approachable_Index,Peat_Index,Sweetness,Fruity,Honey,Smoky,Medicinal
Aberfeldy,Highlands,6,2,2,2,2,2,0
Aberlour,Speyside,10,1,3,3,4,1,0
AnCnoc,Highlands,8,2,3,3,2,2,0
Ardbeg,Islay,2,8,1,1,0,4,4
Ardmore,Highlands,4,2,2,1,1,2,0
ArranIsleOf,Islands,5,2,3,1,1,1,1
Auchentoshan,Lowlands,6,0,2,3,1,0,0
Auchroisk,Highlands,7,1,3,2,2,1,0
Aultmore,Highlands,5,1,2,2,1,1,0
Balblair,Highlands,5,3,3,2,0,2,1
Balmenach,Highlands,6,2,3,1,2,2,0
Belvenie,Highlands,7,1,2,2,3,1,0
BenNevis,Highlands,6,2,2,2,2,2,0
Benriach,Speyside,7,1,2,3,2,1,0
Benrinnes,Speyside,7,2,2,2,3,2,0
Benromach,Highlands,6,2,2,2,2,2,0
Bladnoch,Lowlands,4,1,2,2,0,1,0
BlairAthol,Highlands,5,2,2,2,1,2,0
Bowmore,Islay,5,4,2,1,2,3,1
Bruichladdich,Islay,5,4,1,2,2,2,2
Bunnahabhain,Islay,5,2,2,2,1,1,1
Caol Ila,Islay,2,6,1,1,0,4,2
Cardhu,Speyside,6,1,3,2,1,1,0
Clynelish,Highlands,4,6,2,2,0,3,3
Craigallechie,Speyside,5,2,2,1,2,2,0
Craigganmore,Speyside,5,3,3,2,0,2,1
Dailuaine,Highlands,5,2,2,2,1,2,0
Dalmore,Highlands,6,3,2,3,1,2,1
Dalwhinnie,Highlands,6,2,2,2,2,2,0
Deanston,Highlands,6,1,2,2,2,1,0
Dufftown,Speyside,5,2,3,2,0,1,1
Edradour,Highlands,7,1,3,2,2,1,0
GlenDeveronMacduff,Highlands,4,2,3,0,1,1,1
GlenElgin,Speyside,7,1,3,2,2,1,0
GlenGarioch,Highlands,3,3,1,2,0,3,0
GlenGrant,Highlands,5,0,2,2,1,0,0
GlenKeith,Highlands,6,1,3,2,1,1,0
GlenMoray,Highlands,5,1,2,2,1,1,0
GlenOrd,Highlands,5,1,2,2,1,1,0
GlenScotia,Campbeltown,4,4,2,1,1,2,2
GlenSpey,Highlands,3,1,3,0,0,1,0
Glenallachie,Highlands,6,1,3,2,1,1,0
Glendronach,Highlands,6,2,2,2,2,2,0
Glendullan,Highlands,7,1,2,3,2,1,0
Glenfarclas,Speyside,7,1,4,2,1,1,0
Glenfiddich,Speyside,5,1,3,2,0,1,0
Glengoyne,Highlands,6,0,2,3,1,0,0
Glenkinchie,Lowlands,5,1,2,2,1,1,0
Glenlivet,Speyside,7,1,3,2,2,1,0
Glenlossie,Speyside,5,1,2,2,1,1,0
Glenmorangie,Highlands,5,2,2,2,1,1,1
Glenrothes,Speyside,6,1,3,2,1,1,0
Glenturret,Highlands,6,1,3,1,2,1,0
Highland Park,Islands,5,4,2,1,2,3,1
Inchgower,Highlands,6,2,3,1,2,1,1
Isle of Jura,Islands,3,4,1,1,1,2,2
Knochando,Highlands,7,1,3,2,2,1,0
Lagavulin,Islay,2,8,1,1,0,4,4
Laphroig,Islay,2,8,2,0,0,4,4
Linkwood,Speyside,7,1,3,3,1,1,0
Loch Lomond,Highlands,3,2,1,1,1,1,1
Longmorn,Speyside,5,1,2,2,1,1,0
Macallan,Speyside,8,1,3,3,2,1,0
Mannochmore,Highlands,4,1,1,2,1,1,0
Miltonduff,Highlands,6,1,4,1,1,1,0
Mortlach,Speyside,6,2,2,2,2,2,0
Oban,Highlands,4,4,2,2,0,2,2
OldFettercairn,Highlands,5,2,2,1,2,2,0
OldPulteney,Islands,3,4,1,2,0,2,2
RoyalBrackla,Highlands,7,3,3,3,1,2,1
RoyalLochnagar,Highlands,7,2,2,3,2,2,0
Scapa,Islands,6,2,2,2,2,1,1
Speyburn,Speyside,7,1,4,1,2,1,0
Speyside,Highlands,5,1,2,2,1,1,0
Springbank,Campbeltown,4,4,2,0,2,2,2
Strathisla,Speyside,7,1,2,3,2,1,0
Strathmill,Highlands,6,1,3,3,0,1,0
Talisker,Islands,5,6,2,2,1,3,3
Tamdhu,Speyside,6,1,2,2,2,1,0
Tamnavulin,Highlands,5,2,3,2,0,2,0
Teaninich,Highlands,4,3,2,2,0,2,1
Tobermory,Islands,4,1,1,2,1,1,0
Tomatin,Highlands,5,2,3,0,2,2,0
Tomintoul,Speyside,6,1,3,1,2,1,0
Tormore,Highlands,3,1,2,0,1,1,0
Tullibardine,Highlands,5,0,3,2,0,0,0
