RowID,Distillery,Body,Sweetness,Smoky,Medicinal,Tobacco,Honey,Spicy,Winey,Nutty,Malty,Fruity,Floral,Postcode,Latitude,Longitude
1,Aberfeldy,2,2,2,0,0,2,1,2,2,2,2,2,PH15 2EB,286580,749680
2,Aberlour,3,3,1,0,0,4,3,2,2,3,3,2,AB38 9PJ,326340,842570
3,AnCnoc,1,3,2,0,0,2,0,0,2,2,3,2,AB5 5LI,352960,839320
4,Ardbeg,4,1,4,4,0,0,2,0,1,2,1,0,PA42 7EB,141560,646220
5,Ardmore,2,2,2,0,0,1,1,1,2,3,1,1,AB54 4NH,355350,829140
6,ArranIsleOf,2,3,1,1,0,1,1,1,0,1,1,2,KA27 8HJ,194050,649950
7,Auchentoshan,0,2,0,0,0,1,1,0,2,2,3,3,G81 4SJ,247670,672610
8,Auchroisk,2,3,1,0,0,2,1,2,2,2,2,1,AB55 3XS,340754,848623
9,Aultmore,2,2,1,0,0,1,0,0,2,2,2,2,AB55 3QY,340754,848623
10,Balblair,2,3,2,1,0,0,2,0,2,1,2,1,IV19 1LB,270820,885770
11,Balmenach,4,3,2,0,0,2,1,3,3,0,1,2,PH26 3PF,307750,827170
12,Belvenie,3,2,1,0,0,3,2,1,0,2,2,2,AB55 4DH,332680,840840
13,BenNevis,4,2,2,0,0,2,2,0,2,2,2,2,PH33 6TJ,212600,775710
14,Benriach,2,2,1,0,0,2,2,0,0,2,3,2,IV30 8SJ,323450,858380
15,Benrinnes,3,2,2,0,0,3,1,1,2,3,2,2,AB38 9NN,325800,839920
16,Benromach,2,2,2,0,0,2,2,1,2,2,2,2,IV36 3EB,303330,859350
17,Bladnoch,1,2,1,0,0,0,1,1,0,2,2,3,DG8 9AB,242260,554260
18,BlairAthol,2,2,2,0,0,1,2,2,2,2,2,2,PH16 5LY,294860,757580
19,Bowmore,2,2,3,1,0,2,2,1,1,1,1,2,PA43 7GS,131330,659720
20,Bruichladdich,1,1,2,2,0,2,2,1,2,2,2,2,PA49 7UN,126680,661400
21,Bunnahabhain,1,2,1,1,0,1,1,1,1,2,2,3,PA46 7RR,142210,673170
22,Caol Ila,3,1,4,2,1,0,2,0,2,1,1,1,PA46 7RL,142920,670040
23,Cardhu,1,3,1,0,0,1,1,0,2,2,2,2,AB38 7RY,318790,843090
24,Clynelish,3,2,3,3,1,0,2,0,1,1,2,0,KW9 6LB,290250,904230
25,Craigallechie,2,2,2,0,1,2,2,1,2,2,1,4,AB38 9ST,328920,844920
26,Craigganmore,2,3,2,1,0,0,1,0,2,2,2,2,AB37 9AB,316600,836370
27,Dailuaine,4,2,2,0,0,1,2,2,2,2,2,1,AB38 7RE,323520,841010
28,Dalmore,3,2,2,1,0,1,2,2,1,2,3,1,IV17 0UT,266610,868730
29,Dalwhinnie,2,2,2,0,0,2,1,0,1,2,2,2,PH19 1AB,263670,785270
30,Deanston,2,2,1,0,0,2,1,1,1,3,2,1,FK16 6AG,271570,701570
31,Dufftown,2,3,1,1,0,0,0,0,1,2,2,2,AB55 4BR,332360,839200
32,Edradour,2,3,1,0,0,2,1,1,4,2,2,2,PH16 5JP,295960,757940
33,GlenDeveronMacduff,2,3,1,1,1,1,1,2,0,2,0,1,AB4 3JT,372120,860400
34,GlenElgin,2,3,1,0,0,2,1,1,1,1,2,3,IV30 3SL,322640,861040
35,GlenGarioch,2,1,3,0,0,0,3,1,0,2,2,2,AB51 0ES,381020,827590
36,GlenGrant,1,2,0,0,0,1,0,1,2,1,2,1,AB38 7BS,327610,849570
37,GlenKeith,2,3,1,0,0,1,2,1,2,1,2,1,AB55 3BU,340754,848623
38,GlenMoray,1,2,1,0,0,1,2,1,2,2,2,4,IV30 1YE,319820,862320
39,GlenOrd,3,2,1,0,0,1,2,1,1,2,2,2,IV6 7UJ,251810,850860
40,GlenScotia,2,2,2,2,0,1,0,1,2,2,1,1,PA28 6DS,172090,621010
41,GlenSpey,1,3,1,0,0,0,1,1,1,2,0,2,AB38 7AU,327760,849140
42,Glenallachie,1,3,1,0,0,1,1,0,1,2,2,2,AB38 9LR,326490,841240
43,Glendronach,4,2,2,0,0,2,1,4,2,2,2,0,AB54 6DA,361200,844930
44,Glendullan,3,2,1,0,0,2,1,2,1,2,3,2,AB55 4DJ,333000,840300
45,Glenfarclas,2,4,1,0,0,1,2,3,2,3,2,2,AB37 9BD,320950,838160
46,Glenfiddich,1,3,1,0,0,0,0,0,0,2,2,2,AB55 4DH,332680,840840
47,Glengoyne,1,2,0,0,0,1,1,1,2,2,3,2,G63 9LB,252810,682750
48,Glenkinchie,1,2,1,0,0,1,2,0,0,2,2,2,EH34 5ET,344380,666690
49,Glenlivet,2,3,1,0,0,2,2,2,1,2,2,3,AB37 9DB,319560,828780
50,Glenlossie,1,2,1,0,0,1,2,0,1,2,2,2,IV30 3SS,322640,861040
