Region,Flavour,Average_Score
Campbeltown,Sweetness,2.0
Highlands,Sweetness,2.35
Islands,Sweetness,1.71
Islay,Sweetness,1.43
Lowlands,Sweetness,2.0
Speyside,Sweetness,2.71
Campbeltown,Fruity,0.5
Highlands,Fruity,1.83
Islands,Fruity,1.57
Islay,Fruity,1.14
Lowlands,Fruity,2.33
Speyside,Fruity,2.1
Campbeltown,Malty,1.5
Highlands,Malty,1.74
Islands,Malty,1.71
Islay,Malty,1.43
Lowlands,Malty,2.0
Speyside,Malty,2.1
Campbeltown,Honey,1.5
Highlands,Honey,1.22
Islands,Honey,1.14
Islay,Honey,0.71
Lowlands,Honey,0.67
Speyside,Honey,1.57
Campbeltown,Smoky,2.0
Highlands,Smoky,1.43
Islands,Smoky,1.86
Islay,Smoky,3.14
Lowlands,Smoky,0.67
Speyside,Smoky,1.19
Campbeltown,Medicinal,2.0
Highlands,Medicinal,0.28
Islands,Medicinal,1.43
Islay,Medicinal,2.57
Lowlands,Medicinal,0.0
Speyside,Medicinal,0.1
Campbeltown,Floral,1.0
Highlands,Floral,1.61
Islands,Floral,1.43
Islay,Floral,1.14
Lowlands,Floral,2.67
Speyside,Floral,2.1
Campbeltown,Spicy,1.0
Highlands,Spicy,1.43
Islands,Spicy,1.14
Islay,Spicy,1.43
Lowlands,Spicy,1.33
Speyside,Spicy,1.38
