year,group,titles,cumulative_titles
1977,International,0.0,0.0
1978,International,0.0,0.0
1979,International,0.0,0.0
1980,International,1.0,1.0
1981,International,0.0,1.0
1982,International,0.0,1.0
1983,International,0.0,1.0
1984,International,0.0,1.0
1985,International,0.0,1.0
1986,International,0.0,1.0
1987,International,0.0,1.0
1988,International,0.0,1.0
1989,International,0.0,1.0
1990,International,0.0,1.0
1991,International,0.0,1.0
1992,International,0.0,1.0
1993,International,0.0,1.0
1994,International,0.0,1.0
1995,International,0.0,1.0
1996,International,0.0,1.0
1997,International,1.0,2.0
1998,International,0.0,2.0
1999,International,0.0,2.0
2000,International,0.0,2.0
2001,International,0.0,2.0
2002,International,0.0,2.0
2003,International,0.0,2.0
2004,International,0.0,2.0
2005,International,0.0,2.0
2006,International,0.0,2.0
2007,International,0.0,2.0
2008,International,0.0,2.0
2009,International,0.0,2.0
2010,International,1.0,3.0
2011,International,0.0,3.0
2012,International,0.0,3.0
2013,International,0.0,3.0
2014,International,0.0,3.0
2015,International,0.0,3.0
2016,International,0.0,3.0
2017,International,0.0,3.0
2018,International,0.0,3.0
2019,International,0.0,3.0
2020,International,0.0,3.0
2021,International,0.0,3.0
2022,International,0.0,3.0
2023,International,1.0,4.0
2024,International,0.0,4.0
2025,International,1.0,5.0
2026,International,1.0,6.0
1977,UK,1.0,1.0
1978,UK,1.0,2.0
1979,UK,1.0,3.0
1980,UK,0.0,3.0
1981,UK,1.0,4.0
1982,UK,1.0,5.0
1983,UK,1.0,6.0
1984,UK,1.0,7.0
1985,UK,1.0,8.0
1986,UK,1.0,9.0
1987,UK,1.0,10.0
1988,UK,1.0,11.0
1989,UK,1.0,12.0
1990,UK,1.0,13.0
1991,UK,1.0,14.0
1992,UK,1.0,15.0
1993,UK,1.0,16.0
1994,UK,1.0,17.0
1995,UK,1.0,18.0
1996,UK,1.0,19.0
1997,UK,0.0,19.0
1998,UK,1.0,20.0
1999,UK,1.0,21.0
2000,UK,1.0,22.0
2001,UK,1.0,23.0
2002,UK,1.0,24.0
2003,UK,1.0,25.0
2004,UK,1.0,26.0
2005,UK,1.0,27.0
2006,UK,1.0,28.0
2007,UK,1.0,29.0
2008,UK,1.0,30.0
2009,UK,1.0,31.0
2010,UK,0.0,31.0
2011,UK,1.0,32.0
2012,UK,1.0,33.0
2013,UK,1.0,34.0
2014,UK,1.0,35.0
2015,UK,1.0,36.0
2016,UK,1.0,37.0
2017,UK,1.0,38.0
2018,UK,1.0,39.0
2019,UK,1.0,40.0
2020,UK,1.0,41.0
2021,UK,1.0,42.0
2022,UK,1.0,43.0
2023,UK,0.0,43.0
2024,UK,1.0,44.0
2025,UK,0.0,44.0
2026,UK,0.0,44.0
