year,outcome_score,outcome_label,tournament_status,final_type,winner,runner_up,score,total_goals,goal_margin,timeline_label,highlight,source_url
1930,1,Settled in play,played,normal_time,Uruguay,Argentina,4–2,6,2,1930: Uruguay 4–2 Argentina,FALSE,https://en.wikipedia.org/wiki/List_of_FIFA_World_Cup_finals
1934,2,Extra time,played,extra_time,Italy,Czechoslovakia,2–1 (a.e.t.),3,1,1934: Italy 2–1 (a.e.t.) Czechoslovakia,FALSE,https://en.wikipedia.org/wiki/List_of_FIFA_World_Cup_finals
1938,1,Settled in play,played,normal_time,Italy,Hungary,4–2,6,2,1938: Italy 4–2 Hungary,FALSE,https://en.wikipedia.org/wiki/List_of_FIFA_World_Cup_finals
1942,0,Not played: World War II,not_played,world_war_ii_gap,,,,,,1942: not played (World War II),TRUE,https://en.wikipedia.org/wiki/History_of_the_FIFA_World_Cup#Hiatus_due_to_World_War_II
1946,0,Not played: World War II,not_played,world_war_ii_gap,,,,,,1946: not played (World War II),TRUE,https://en.wikipedia.org/wiki/History_of_the_FIFA_World_Cup#Hiatus_due_to_World_War_II
1950,1,Settled in play,played,final_group_decider,Uruguay,Brazil,2–1,3,1,1950: Uruguay 2–1 Brazil,FALSE,https://en.wikipedia.org/wiki/List_of_FIFA_World_Cup_finals
1954,1,Settled in play,played,normal_time,West Germany,Hungary,3–2,5,1,1954: West Germany 3–2 Hungary,FALSE,https://en.wikipedia.org/wiki/List_of_FIFA_World_Cup_finals
1958,1,Settled in play,played,normal_time,Brazil,Sweden,5–2,7,3,1958: Brazil 5–2 Sweden,FALSE,https://en.wikipedia.org/wiki/List_of_FIFA_World_Cup_finals
1962,1,Settled in play,played,normal_time,Brazil,Czechoslovakia,3–1,4,2,1962: Brazil 3–1 Czechoslovakia,FALSE,https://en.wikipedia.org/wiki/List_of_FIFA_World_Cup_finals
1966,2,Extra time,played,extra_time,England,West Germany,4–2 (a.e.t.),6,2,1966: England 4–2 (a.e.t.) West Germany,FALSE,https://en.wikipedia.org/wiki/List_of_FIFA_World_Cup_finals
1970,1,Settled in play,played,normal_time,Brazil,Italy,4–1,5,3,1970: Brazil 4–1 Italy,FALSE,https://en.wikipedia.org/wiki/List_of_FIFA_World_Cup_finals
1974,1,Settled in play,played,normal_time,West Germany,Netherlands,2–1,3,1,1974: West Germany 2–1 Netherlands,FALSE,https://en.wikipedia.org/wiki/List_of_FIFA_World_Cup_finals
1978,2,Extra time,played,extra_time,Argentina,Netherlands,3–1 (a.e.t.),4,2,1978: Argentina 3–1 (a.e.t.) Netherlands,FALSE,https://en.wikipedia.org/wiki/List_of_FIFA_World_Cup_finals
1982,1,Settled in play,played,normal_time,Italy,West Germany,3–1,4,2,1982: Italy 3–1 West Germany,FALSE,https://en.wikipedia.org/wiki/List_of_FIFA_World_Cup_finals
1986,1,Settled in play,played,normal_time,Argentina,West Germany,3–2,5,1,1986: Argentina 3–2 West Germany,FALSE,https://en.wikipedia.org/wiki/List_of_FIFA_World_Cup_finals
1990,1,Settled in play,played,normal_time,West Germany,Argentina,1–0,1,1,1990: West Germany 1–0 Argentina,FALSE,https://en.wikipedia.org/wiki/List_of_FIFA_World_Cup_finals
1994,3,Penalty shootout,played,penalty_shootout,Brazil,Italy,0–0 (a.e.t.) (3–2 pen.),0,0,1994: Brazil 0–0 (a.e.t.) (3–2 pen.) Italy,TRUE,https://en.wikipedia.org/wiki/List_of_FIFA_World_Cup_finals
1998,1,Settled in play,played,normal_time,France,Brazil,3–0,3,3,1998: France 3–0 Brazil,FALSE,https://en.wikipedia.org/wiki/List_of_FIFA_World_Cup_finals
2002,1,Settled in play,played,normal_time,Brazil,Germany,2–0,2,2,2002: Brazil 2–0 Germany,FALSE,https://en.wikipedia.org/wiki/List_of_FIFA_World_Cup_finals
2006,3,Penalty shootout,played,penalty_shootout,Italy,France,1–1 (a.e.t.) (5–3 pen.),2,0,2006: Italy 1–1 (a.e.t.) (5–3 pen.) France,TRUE,https://en.wikipedia.org/wiki/List_of_FIFA_World_Cup_finals
2010,2,Extra time,played,extra_time,Spain,Netherlands,1–0 (a.e.t.),1,1,2010: Spain 1–0 (a.e.t.) Netherlands,FALSE,https://en.wikipedia.org/wiki/List_of_FIFA_World_Cup_finals
2014,2,Extra time,played,extra_time,Germany,Argentina,1–0 (a.e.t.),1,1,2014: Germany 1–0 (a.e.t.) Argentina,FALSE,https://en.wikipedia.org/wiki/List_of_FIFA_World_Cup_finals
2018,1,Settled in play,played,normal_time,France,Croatia,4–2,6,2,2018: France 4–2 Croatia,FALSE,https://en.wikipedia.org/wiki/List_of_FIFA_World_Cup_finals
2022,3,Penalty shootout,played,penalty_shootout,Argentina,France,3–3 (a.e.t.) (4–2 pen.),6,0,2022: Argentina 3–3 (a.e.t.) (4–2 pen.) France,TRUE,https://en.wikipedia.org/wiki/List_of_FIFA_World_Cup_finals
2026,4,2026 final scheduled,scheduled,scheduled,,,,,,2026: final scheduled,TRUE,https://www.fifa.com/fifaplus/en/tournaments/mens/worldcup/canadamexicousa2026
