year,tournament_status,winner,score,runner_up,venue,location,host_country,attendance,winner_goals,runner_up_goals,total_goals,goal_margin,after_extra_time,decided_on_penalties,winner_penalties,runner_up_penalties,winner_title_number,winner_continent,runner_up_continent,host_continent,winner_was_host,runner_up_was_host,final_in_winner_continent,final_in_runner_up_continent,final_type,notes,source_note,country_grouping_policy,winner_chart_name,runner_up_chart_name,validation_source_url,scheduled_final_date
1930,played,Uruguay,4–2,Argentina,Estadio Centenario,"Montevideo, Uruguay",Uruguay,68346,4,2,6,2,FALSE,FALSE,,,1,South America,South America,South America,TRUE,FALSE,TRUE,TRUE,normal_time,,User-provided finals table; 1942 and 1946 scaffold rows added as World War II cancellations.,historical_name_preserved,Uruguay,Argentina,https://en.wikipedia.org/wiki/List_of_FIFA_World_Cup_finals,
1934,played,Italy,2–1 (a.e.t.),Czechoslovakia,Stadio Nazionale PNF,"Rome, Italy",Italy,55000,2,1,3,1,TRUE,FALSE,,,1,Europe,Europe,Europe,TRUE,FALSE,TRUE,TRUE,extra_time,,User-provided finals table; 1942 and 1946 scaffold rows added as World War II cancellations.,historical_name_preserved,Italy,Czechoslovakia,https://en.wikipedia.org/wiki/List_of_FIFA_World_Cup_finals,
1938,played,Italy,4–2,Hungary,Stade Olympique de Colombes,"Colombes, France",France,45000,4,2,6,2,FALSE,FALSE,,,2,Europe,Europe,Europe,FALSE,FALSE,TRUE,TRUE,normal_time,,User-provided finals table; 1942 and 1946 scaffold rows added as World War II cancellations.,historical_name_preserved,Italy,Hungary,https://en.wikipedia.org/wiki/List_of_FIFA_World_Cup_finals,
1942,not_played,,,,,,,,,,,,,,,,,,,,,,,,world_war_ii_gap,Tournament not played because of World War II.,User-provided finals table; 1942 and 1946 scaffold rows added as World War II cancellations.,historical_name_preserved,,,https://en.wikipedia.org/wiki/History_of_the_FIFA_World_Cup#Hiatus_due_to_World_War_II,
1946,not_played,,,,,,,,,,,,,,,,,,,,,,,,world_war_ii_gap,Tournament not played because of World War II.,User-provided finals table; 1942 and 1946 scaffold rows added as World War II cancellations.,historical_name_preserved,,,https://en.wikipedia.org/wiki/History_of_the_FIFA_World_Cup#Hiatus_due_to_World_War_II,
1950,played,Uruguay,2–1,Brazil,Maracanã Stadium,"Rio de Janeiro, Brazil",Brazil,173850,2,1,3,1,FALSE,FALSE,,,2,South America,South America,South America,FALSE,TRUE,TRUE,TRUE,final_group_decider,1950 used a final group; this match decided the World Cup rather than being a standard knockout final.,User-provided finals table; 1942 and 1946 scaffold rows added as World War II cancellations.,historical_name_preserved,Uruguay,Brazil,https://en.wikipedia.org/wiki/List_of_FIFA_World_Cup_finals,
1954,played,West Germany,3–2,Hungary,Wankdorf Stadium,"Bern, Switzerland",Switzerland,62500,3,2,5,1,FALSE,FALSE,,,1,Europe,Europe,Europe,FALSE,FALSE,TRUE,TRUE,normal_time,,User-provided finals table; 1942 and 1946 scaffold rows added as World War II cancellations.,historical_name_preserved,West Germany,Hungary,https://en.wikipedia.org/wiki/List_of_FIFA_World_Cup_finals,
1958,played,Brazil,5–2,Sweden,Råsunda Stadium,"Solna, Sweden",Sweden,49737,5,2,7,3,FALSE,FALSE,,,1,South America,Europe,Europe,FALSE,TRUE,FALSE,TRUE,normal_time,,User-provided finals table; 1942 and 1946 scaffold rows added as World War II cancellations.,historical_name_preserved,Brazil,Sweden,https://en.wikipedia.org/wiki/List_of_FIFA_World_Cup_finals,
1962,played,Brazil,3–1,Czechoslovakia,Estadio Nacional,"Santiago, Chile",Chile,68679,3,1,4,2,FALSE,FALSE,,,2,South America,Europe,South America,FALSE,FALSE,TRUE,FALSE,normal_time,,User-provided finals table; 1942 and 1946 scaffold rows added as World War II cancellations.,historical_name_preserved,Brazil,Czechoslovakia,https://en.wikipedia.org/wiki/List_of_FIFA_World_Cup_finals,
1966,played,England,4–2 (a.e.t.),West Germany,Wembley Stadium,"London, England",England,96924,4,2,6,2,TRUE,FALSE,,,1,Europe,Europe,Europe,TRUE,FALSE,TRUE,TRUE,extra_time,,User-provided finals table; 1942 and 1946 scaffold rows added as World War II cancellations.,historical_name_preserved,England,West Germany,https://en.wikipedia.org/wiki/List_of_FIFA_World_Cup_finals,
1970,played,Brazil,4–1,Italy,Estadio Azteca,"Mexico City, Mexico",Mexico,107412,4,1,5,3,FALSE,FALSE,,,3,South America,Europe,North America,FALSE,FALSE,FALSE,FALSE,normal_time,,User-provided finals table; 1942 and 1946 scaffold rows added as World War II cancellations.,historical_name_preserved,Brazil,Italy,https://en.wikipedia.org/wiki/List_of_FIFA_World_Cup_finals,
1974,played,West Germany,2–1,Netherlands,Olympiastadion,"Munich, West Germany",West Germany,78200,2,1,3,1,FALSE,FALSE,,,2,Europe,Europe,Europe,TRUE,FALSE,TRUE,TRUE,normal_time,,User-provided finals table; 1942 and 1946 scaffold rows added as World War II cancellations.,historical_name_preserved,West Germany,Netherlands,https://en.wikipedia.org/wiki/List_of_FIFA_World_Cup_finals,
